source,target,interaction,evidence,confidence,source_name_unicode,source_name_ascii,target_name_unicode,target_name_ascii
Q1336547,Q921673,teacher_of,wikidata:P802,high,Peichin Takahara,Peichin Takahara,Kanga Sakukawa,Kanga Sakukawa
Q5104212,Q6378081,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Chokei Kishaba,Chokei Kishaba,Katsuhiko Shinzato,Katsuhiko Shinzato
Q1147708,Q2943981,teacher_of,infobox:students,medium,Motobu Chōki,Motobu Choki,Tatsuo Yamada,Tatsuo Yamada
Q1246030,Q3317210,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Shigeru Egami,Shigeru Egami,Mitsusuke Harada,Mitsusuke Harada
Q6078918,Q1246030,teacher_of,infobox:students | infobox:teacher,medium,Isao Obata,Isao Obata,Shigeru Egami,Shigeru Egami
Q1246030,Q3519204,teacher_of,infobox:students,medium,Shigeru Egami,Shigeru Egami,Tetsuji Murakami,Tetsuji Murakami
Q6078918,Q6381580,teacher_of,infobox:students,medium,Isao Obata,Isao Obata,Kazumi Tabata,Kazumi Tabata
Q294548,Q221797,teacher_of,wikidata:P802,high,Mas Oyama,Mas Oyama,Bobby Lowe,Bobby Lowe
Q294548,Q706955,teacher_of,wikidata:P802,high,Mas Oyama,Mas Oyama,Tadashi Nakamura,Tadashi Nakamura
Q182130,Q706726,teacher_of,infobox:teacher | wikidata:P1066,high,Morihei Ueshiba,Morihei Ueshiba,Gozo Shioda,Gozo Shioda
Q706726,Q4467319,teacher_of,infobox:students | wikidata:P802,high,Gozo Shioda,Gozo Shioda,Terada Kiyoyuki,Terada Kiyoyuki
Q706726,Q6212631,teacher_of,wikidata:P802,high,Gozo Shioda,Gozo Shioda,Joe Thambu,Joe Thambu
Q706726,Q7677342,teacher_of,infobox:students,medium,Gozo Shioda,Gozo Shioda,Takashi Kushida,Takashi Kushida
Q706726,Q13424717,teacher_of,infobox:students,medium,Gozo Shioda,Gozo Shioda,Kyoichi Inoue,Kyoichi Inoue
Q706726,Q7790297,teacher_of,infobox:students,medium,Gozo Shioda,Gozo Shioda,Thomas H. Makiyama,Thomas H Makiyama
Q706726,Q4457146,teacher_of,infobox:students,medium,Gozo Shioda,Gozo Shioda,Tsutomu Chida,Tsutomu Chida
Q706726,Q7850204,teacher_of,infobox:students,medium,Gozo Shioda,Gozo Shioda,Tsuneo Ando,Tsuneo Ando
Q706726,Q21482428,teacher_of,infobox:students,medium,Gozo Shioda,Gozo Shioda,Jacques Payet,Jacques Payet
Q706726,Q8049998,teacher_of,infobox:students,medium,Gozo Shioda,Gozo Shioda,Yasuhisa Shioda,Yasuhisa Shioda
Q706726,Q16187228,teacher_of,infobox:students,medium,Gozo Shioda,Gozo Shioda,Robert Mustard,Robert Mustard
Q7446692,Q2869852,teacher_of,infobox:students,medium,Seigo Tada,Seigo Tada,Atsuko Wakai,Atsuko Wakai
Q7446692,Q3272171,teacher_of,infobox:students,medium,Seigo Tada,Seigo Tada,Yukari Oshima,Yukari Oshima
Q557301,Q7327071,teacher_of,infobox:students,medium,Ankichi Arakaki,Ankichi Arakaki,Richard Kim,Richard Kim
Q1620643,Q6519507,teacher_of,infobox:students | wikidata:P802,high,Kōri Hisataka,Kori Hisataka,Shunji Watanabe,Shunji Watanabe
Q16006586,Q106695378,teacher_of,infobox:students,medium,Kanki Izumigawa,Kanki Izumigawa,Sosui Ichikawa,Sosui Ichikawa
Q5103850,Q6378081,teacher_of,infobox:teacher,medium,Chogi Kishaba,Chogi Kishaba,Katsuhiko Shinzato,Katsuhiko Shinzato
Q3772405,Q7327071,teacher_of,wikidata:P802,high,Kanken Tōyama,Kanken Toyama,Richard Kim,Richard Kim
Q15987564,Q15845016,teacher_of,wikidata:P1066,high,Masaaki Ueki,Masaaki Ueki,Koji Chubachi,Koji Chubachi
Q15987564,Q15845021,teacher_of,wikidata:P1066,high,Masaaki Ueki,Masaaki Ueki,Kazuaki Kurihara,Kazuaki Kurihara
Q1738762,Q1493062,teacher_of,infobox:students,medium,Kenji Kurosaki,Kenji Kurosaki,Willie Williams,Willie Williams
Q11557545,Q4701154,teacher_of,wikidata:P1066,high,Noriyasu Hamai,Noriyasu Hamai,Akira Masuda,Akira Masuda
Q3519204,Q19325706,teacher_of,infobox:students,medium,Tetsuji Murakami,Tetsuji Murakami,Vernon Bell,Vernon Bell
Q3519204,Q1335481,teacher_of,infobox:students,medium,Tetsuji Murakami,Tetsuji Murakami,Henry Plée,Henry Plee
Q15987564,Q15845024,teacher_of,wikidata:P1066,high,Masaaki Ueki,Masaaki Ueki,Keisuke Nemoto,Keisuke Nemoto
Q386415,Q476441,teacher_of,infobox:teacher,medium,Hironori Ōtsuka,Hironori Otsuka,Seiji Nishimura,Seiji Nishimura
Q15987564,Q15845028,teacher_of,wikidata:P1066,high,Masaaki Ueki,Masaaki Ueki,Koji Ogata,Koji Ogata
Q15987564,Q15845023,teacher_of,wikidata:P1066,high,Masaaki Ueki,Masaaki Ueki,Satomi Okuie,Satomi Okuie
Q2636225,Q11383484,teacher_of,wikidata:P1066,high,Kazuyoshi Ishii,Kazuyoshi Ishii,Masaaki Satake,Masaaki Satake
Q15987564,Q15845014,teacher_of,wikidata:P1066,high,Masaaki Ueki,Masaaki Ueki,Mai Shiina,Mai Shiina
Q15987564,Q15845020,teacher_of,wikidata:P1066,high,Masaaki Ueki,Masaaki Ueki,Ryosuke Shimizu,Ryosuke Shimizu
Q3984847,Q2664662,teacher_of,infobox:students,medium,Terutomo Yamazaki,Terutomo Yamazaki,Shokei Matsui,Shokei Matsui
Q3984847,Q6378060,teacher_of,infobox:students,medium,Terutomo Yamazaki,Terutomo Yamazaki,Katsuaki Satō,Katsuaki Sato
Q3984847,Q780966,teacher_of,infobox:students,medium,Terutomo Yamazaki,Terutomo Yamazaki,Seiji Isobe,Seiji Isobe
Q3984847,Q5610965,teacher_of,infobox:students,medium,Terutomo Yamazaki,Terutomo Yamazaki,Howard Collins,Howard Collins
Q41105,Q16089695,teacher_of,infobox:teacher,medium,Gichin Funakoshi,Gichin Funakoshi,Saitō Satoshi,Saito Satoshi
Q7446788,Q16089695,teacher_of,infobox:teacher,medium,Seiko Fujita,Seiko Fujita,Saitō Satoshi,Saito Satoshi
Q15987727,Q7364578,teacher_of,infobox:teacher | wikidata:P1066,high,Moses Powell,Moses Powell,Ron van Clief,Ron van Clief
Q1335481,Q19325706,teacher_of,infobox:teacher | wikidata:P1066,high,Henry Plée,Henry Plee,Vernon Bell,Vernon Bell
Q1739011,Q19325706,teacher_of,infobox:teacher,medium,Kenshiro Abbe,Kenshiro Abbe,Vernon Bell,Vernon Bell
Q6139856,Q8014128,teacher_of,infobox:students | wikidata:P802,high,James Mitose,James Mitose,William Kwai Sun Chow,William Kwai Sun Chow
Q8014128,Q653633,teacher_of,infobox:teacher | wikidata:P1066,high,William Kwai Sun Chow,William Kwai Sun Chow,Ed Parker,Ed Parker
Q653633,Q730348,teacher_of,infobox:students | wikidata:P802,high,Ed Parker,Ed Parker,Benny Urquidez,Benny Urquidez
Q653633,Q5335255,teacher_of,wikidata:P802,high,Ed Parker,Ed Parker,Ed Parker Jr.,Ed Parker Jr
Q653633,Q6167244,teacher_of,wikidata:P802,high,Ed Parker,Ed Parker,Jay T. Will,Jay T Will
Q6139856,Q653633,teacher_of,infobox:teacher,medium,James Mitose,James Mitose,Ed Parker,Ed Parker
Q653633,Q550492,teacher_of,infobox:students,medium,Ed Parker,Ed Parker,Dan Inosanto,Dan Inosanto
Q653633,Q303,teacher_of,infobox:students,medium,Ed Parker,Ed Parker,Elvis Presley,Elvis Presley
Q653633,Q1052982,teacher_of,infobox:students,medium,Ed Parker,Ed Parker,Jeff Speakman,Jeff Speakman
Q653633,Q2673,teacher_of,infobox:students,medium,Ed Parker,Ed Parker,Chuck Norris,Chuck Norris
Q653633,Q369949,teacher_of,infobox:students,medium,Ed Parker,Ed Parker,Robert Culp,Robert Culp
Q912181,Q6426232,teacher_of,infobox:students | wikidata:P802,high,Nicholas Pettas,Nicholas Pettas,Koichi Pettas,Koichi Pettas
Q912181,Q64929894,teacher_of,infobox:students,medium,Nicholas Pettas,Nicholas Pettas,Leona Pettas,Leona Pettas
Q384558,Q15987804,teacher_of,infobox:students | wikidata:P802,high,Masatoshi Nakayama,Masatoshi Nakayama,Hideo Yamamoto,Hideo Yamamoto
Q1046410,Q4731883,teacher_of,infobox:teacher | wikidata:P1066,high,Jhoon Rhee,Jhoon Rhee,Allen Steen,Allen Steen
Q4731883,Q7535789,teacher_of,infobox:students | wikidata:P802,high,Allen Steen,Allen Steen,Skipper Mullins,Skipper Mullins
Q4731883,Q7373041,teacher_of,infobox:students,medium,Allen Steen,Allen Steen,Roy Kurban,Roy Kurban
Q123398,Q539362,teacher_of,infobox:students | wikidata:P802,high,Andy Hug,Andy Hug,Xhavit Bajrami,Xhavit Bajrami
Q123398,Q352678,teacher_of,infobox:students,medium,Andy Hug,Andy Hug,Björn Bregy,Bjorn Bregy
Q123398,Q7171725,teacher_of,infobox:students,medium,Andy Hug,Andy Hug,Petar Majstorović,Petar Majstorovic
Q123398,Q6832665,teacher_of,infobox:students,medium,Andy Hug,Andy Hug,Michael McDonald,Michael McDonald
Q3482287,Q557301,teacher_of,infobox:teacher | wikidata:P1066 | wikidata:P802,high,Shinpan Gusukuma,Shinpan Gusukuma,Ankichi Arakaki,Ankichi Arakaki
Q705617,Q557301,teacher_of,infobox:students | infobox:teacher | text_context:teacher_keyword | wikidata:P1066 | wikidata:P802,high,Chōmo Hanashiro,Chomo Hanashiro,Ankichi Arakaki,Ankichi Arakaki
Q1071733,Q557301,teacher_of,infobox:students | infobox:teacher | text_context:teacher_keyword | text_pattern:learned_from | wikidata:P1066 | wikidata:P802,high,Chōshin Chibana,Choshin Chibana,Ankichi Arakaki,Ankichi Arakaki
Q557301,Q1963468,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Ankichi Arakaki,Ankichi Arakaki,Shōshin Nagamine,Shoshin Nagamine
Q2393877,Q557301,teacher_of,infobox:students | infobox:teacher,medium,Chōtoku Kyan,Chotoku Kyan,Ankichi Arakaki,Ankichi Arakaki
Q557301,Q2149940,teacher_of,infobox:students,medium,Ankichi Arakaki,Ankichi Arakaki,Richard Kim,Richard Kim
Q715769,Q721201,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Matsumura Sōkon,Matsumura Sokon,Ankō Azato,Anko Azato
Q721201,Q41105,teacher_of,infobox:students | infobox:teacher | text_pattern:taught | wikidata:P1066 | wikidata:P802,high,Ankō Azato,Anko Azato,Gichin Funakoshi,Gichin Funakoshi
Q715769,Q527422,teacher_of,infobox:students | infobox:teacher | text_context:teacher_keyword | wikidata:P1066 | wikidata:P802,high,Matsumura Sōkon,Matsumura Sokon,Ankō Itosu,Anko Itosu
Q527422,Q706389,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Ankō Itosu,Anko Itosu,Motobu Chōyū,Motobu Choyu
Q527422,Q453505,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Ankō Itosu,Anko Itosu,Kenwa Mabuni,Kenwa Mabuni
Q527422,Q705617,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Ankō Itosu,Anko Itosu,Chōmo Hanashiro,Chomo Hanashiro
Q527422,Q1071733,teacher_of,infobox:students | infobox:teacher | text_pattern:learned_from | wikidata:P1066 | wikidata:P802,high,Ankō Itosu,Anko Itosu,Chōshin Chibana,Choshin Chibana
Q527422,Q3482287,teacher_of,infobox:students | infobox:teacher | text_pattern:learned_from | wikidata:P1066 | wikidata:P802,high,Ankō Itosu,Anko Itosu,Shinpan Gusukuma,Shinpan Gusukuma
Q527422,Q1147708,teacher_of,infobox:students | infobox:teacher,medium,Ankō Itosu,Anko Itosu,Motobu Chōki,Motobu Choki
Q527422,Q722028,teacher_of,infobox:students | infobox:teacher,medium,Ankō Itosu,Anko Itosu,Kentsū Yabu,Kentsu Yabu
Q527422,Q41105,teacher_of,infobox:students | infobox:teacher | wikidata:P1066,high,Ankō Itosu,Anko Itosu,Gichin Funakoshi,Gichin Funakoshi
Q527422,Q3772405,teacher_of,infobox:students | infobox:teacher,medium,Ankō Itosu,Anko Itosu,Kanken Tōyama,Kanken Toyama
