kata,person,person_as_written,person_id,in_dataset,role,era,disputed
Aoyagi,Kenwa Mabuni,"Kenwa Mabuni and Yasuhiro Konishi, with advice from Morihei Ueshiba",Q453505,yes,originated,c. 1935-1940,
Aoyagi,Kenwa Mabuni,Kenwa Mabuni,Q453505,yes,created,c. 1935-1940,
Aoyagi,Yasuhiro Konishi,Yasuhiro Konishi,Q4351940,yes,created,c. 1935-1940,
Chinto (Wado-ryu),Sokon Matsumura,attributed to Sokon Matsumura (folklore); Wado adaptation by Hironori Otsuka,Q715769,yes,originated,"Wado version 1930s (declared among the nine official kata, 1977)",
Chinto (Wado-ryu),Sokon Matsumura,Sokon Matsumura,Q715769,yes,created,"Wado version 1930s (declared among the nine official kata, 1977)",
Chinto (Wado-ryu),Hironori Otsuka,Hironori Otsuka,Q386415,yes,standardised,"Wado version 1930s (declared among the nine official kata, 1977)",
Empi,Tomari-te lineage attributed to the Chinese envoy Wang Ji,Tomari-te lineage attributed to the Chinese envoy Wang Ji (Wanshu); renamed by Gichin Funakoshi,,"group or body, not an individual",originated,renamed 1935 (Wanshu lineage traditionally dated 1683),
Empi,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,renamed 1935 (Wanshu lineage traditionally dated 1683),
Gankaku,Sokon Matsumura from the teachings of the shipwrecked Chinese sailor Chinto,attributed to Sokon Matsumura from the teachings of the shipwrecked Chinese sailor Chinto (folklore); renamed by Gichin Funakoshi,,NO — person missing,originated,renamed 1935 (Chinto lineage mid-19th century),
Gankaku,Sokon Matsumura,Sokon Matsumura,Q715769,yes,created,renamed 1935 (Chinto lineage mid-19th century),
Gankaku,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,renamed 1935 (Chinto lineage mid-19th century),
Hangetsu,old Okinawan/Chinese lineage,old Okinawan/Chinese lineage (creator unknown); renamed by Gichin Funakoshi,,"group or body, not an individual",originated,renamed 1935 (Seisan among the oldest kata on Okinawa),
Hangetsu,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,renamed 1935 (Seisan among the oldest kata on Okinawa),
Heian,Anko Itosu,Anko Itosu (created the Pinan series); Gichin Funakoshi (Japanese renaming),Q527422,yes,originated,originals c. 1904; renamed 1935 (Karate-do Kyohan),
Heian,Anko Itosu,Anko Itosu,Q527422,yes,created,originals c. 1904; renamed 1935 (Karate-do Kyohan),
Heian,Gichin Funakoshi,Gichin Funakoshi,Q41105,yes,renamed,originals c. 1904; renamed 1935 (Karate-do Kyohan),
Junro,Tetsuhiko Asai,Tetsuhiko Asai,Q709520,yes,created,c. 1990s-2000s,
Kihon Kumite (Wado-ryu),Hironori Otsuka,Hironori Otsuka,Q386415,yes,created,1930s-1940s (refined from an original set of 36),
Kyoku series,Kanken Toyama,Kanken Toyama and senior students of the Shudokan,Q3772405,yes,originated,c. 1930s-1950s,
Kyoku series,Kanken Oyadomari,Kanken Oyadomari,,NO — person missing,created,c. 1930s-1950s,
Matsukaze,Tomari-te lineage,Tomari-te lineage (Matsumora line); renamed and arranged by Kenwa Mabuni,,"group or body, not an individual",originated,renamed c. 1930s-1940s,
Matsukaze,Kosaku Matsumora,Kosaku Matsumora,Q3028499,yes,standardised,renamed c. 1930s-1940s,
