id,name,name_native,name_romaji,birth_year,death_year,trained_from_est,locality,styles,primary_style,family,generation,n_students,n_descendants,connected,honours,legendary,added_by_research,wikipedia_url
Q106668612,Aaron Banks,,,1928,2013,1953,,te,te,te,14,0,0,yes,,,,https://en.wikipedia.org/wiki/Aaron_Banks
N0026,Abe Iwao,,,,,,,,,,13,0,0,yes,,,yes,
J0113,Aburaya Yamagusuku,油屋山城,,,,,"Ryukyu Kingdom, Okinawa",okinawan-kobudo,okinawan-kobudo,kobudo,2,1,596,yes,,,yes,
J0183,Ademir da Costa,アデミール・ダ・コスタ,,1961,,,Brazil,kyokushin,kyokushin,kyokushin,19,1,1,yes,,,yes,
A0230,Adriano Emperado,,,1926,2009,,,kenpo|kajukenbo|kara-ho-kempo,kenpo,kenpo,2,1,1,yes,,,yes,https://en.wikipedia.org/wiki/Adriano_Directo_Emperado
J0166,Ahn Hak-seon,안학선,,,,,Seoul,ji-do-kwan,ji-do-kwan,korean,18,0,0,yes,,,yes,
N0008,Aji Tanmei Iha,,,,,,,,,,0,1,90,yes,,,yes,
B0005,Akihiko Suzuki,,,,,,,goju-ryu|jundokan,goju-ryu,naha-te,13,0,0,yes,,,yes,
A0135,Akihiro Yagi,八木明広,,,,,,goju-ryu|meibukan|imgka,goju-ryu,naha-te,14,0,0,yes,,,yes,
J0065,Akihito Komatsunomiya,小松宮彰仁親王,,,,,"Kyoto, Japan",dai-nippon-butokukai,dai-nippon-butokukai,other,,0,0,,,,yes,
Q11391351,Akihito Yagi,八木明人,,1977,,2002,Naha,meibukan|goju-ryu|karate-generic|te|imgka,meibukan,naha-te,14,0,0,yes,,,,https://en.wikipedia.org/wiki/Akihito_Yagi
C00002,Akio Kinjo,金城昭夫,Kinjo Akio,1936,,,,karate-generic,karate-generic,other,13,0,0,yes,,,,
R0146,Akio Koyama,湖山彰夫,,1958,,,San'in branch,kyokushin-kan,kyokushin-kan,kyokushin,18,0,0,yes,,,yes,
A0088,Akio Minakami,,,1948,,,,hayashi-ha-shito-ryu|shito-ryu,hayashi-ha-shito-ryu,japanese,18,0,0,yes,,,yes,https://en.wikipedia.org/wiki/Akio_Minakami
A0103,Akira Kitagawa,,,,,,,shorin-ryu,shorin-ryu,shuri-te,0,1,3,yes,,,yes,
Q4701154,Akira Masuda,増田章,,1962,,1987,,kyokushin|japanese-karate-generic|karate-generic|te,kyokushin,kyokushin,18,0,0,yes,,,,https://en.wikipedia.org/wiki/Akira_Masuda
R0030,Akira Sato,,,1944,,,"Tokyo, Japan; then Canada",sato-ha-shito-ryu|seiko-kai,sato-ha-shito-ryu,japanese,17,0,0,yes,,,yes,
A0198,Akira Shiomi,,,,,,,goju-ryu,goju-ryu,naha-te,0,1,1,yes,,,yes,
J0104,Akiyoshi Arakaki,新垣昭善,,,,,Tokyo,kenryo-ryu,kenryo-ryu,kobudo,17,0,0,yes,,,yes,
A0232,Al Tracy,,,,,,,kenpo|tracy-kenpo,kenpo,kenpo,0,1,1,yes,,,yes,
R0166,Albert Geraldi,,,,,,"Kansas City, Kansas, United States",ryu-te|okinawa-kenpo,ryu-te,shuri-te,14,0,0,yes,,,yes,
R0245,Aleksander Staniszew,,,1955,,,Poland,,,,18,0,0,yes,,,yes,
Q4731883,Allen Steen,,,1940,2025,1965,,taekwondo|karate-generic|te|jhoon-rhee-taekwondo,taekwondo,korean,18,2,2,yes,,,,https://en.wikipedia.org/wiki/Allen_Steen
A0109,Allen Tackett,,,,,,,seidokan,seidokan,shuri-te,17,0,0,yes,,,yes,
A0011,An'ichi Miyagi,宮城安一,,1931,2009,,,goju-ryu|iogkf,goju-ryu,naha-te,12,3,17,yes,Hanshi 10th dan — Okinawa Karate News register (2018),,yes,
C00003,Anbun Tokuda,徳田安文,,1886,1945,,,karate-generic,karate-generic,other,7,4,46,yes,,,,
N0169,Andrea Guarelli,,,1961,,,,,,,17,0,0,yes,,,yes,
Q123398,Andy Hug,,,1964,2000,1989,,seidokaikan|karate-generic|kyokushin|taekwondo|te,seidokaikan,kyokushin,20,4,4,yes,,,,https://en.wikipedia.org/wiki/Andy_Hug
Q527659,Andy Sherry,,,1943,,1968,Shuri,shotokan|karate-generic|te,shotokan,japanese,18,1,1,yes,,,,https://en.wikipedia.org/wiki/Andy_Sherry
R0112,Angel Lemus,,,,,,United States,shorin-ryu-seibukan,shorin-ryu-seibukan,shuri-te,15,0,0,yes,,,yes,
Q4763171,Angi Uezu,上江洲安儀,,1935,2024,1960,,te|karate-generic|isshin-ryu|isshin-ryu-oikka,isshin-ryu,shuri-te,16,0,0,yes,Hanshi 10th dan — Okinawa Karate News register (2018),,,https://ja.wikipedia.org/wiki/%E4%B8%8A%E6%B1%9F%E6%B4%B2%E5%AE%89%E5%84%80
N0156,Ankei Oshiro,,,1882,1931,,,,,,,0,0,,,,yes,
Q557301,Ankichi Arakaki,新垣安吉,,1899,1927,1924,Shuri,karate-generic|okinawan-karate-generic|te,te,te,12,4,122,yes,,,,https://en.wikipedia.org/wiki/Ankichi_Arakaki
C00005,Ankichi Miyazato,,,,,,,karate-generic,karate-generic,other,16,0,0,yes,,,,
C00006,Ankichi Nakamura,,,,,,,karate-generic,karate-generic,other,16,0,0,yes,Hanshi 10th dan — Okinawa Karate News register (2018),,,
Q721201,Anko Azato,安里安恒,Ankō Azato,1828,1914,1852,Shuri,shuri-te|jigen-ryu|karate-generic|te,shuri-te,shuri-te,5,2,602,yes,,,,https://en.wikipedia.org/wiki/Ank%C5%8D_Asato
Q527422,Anko Itosu,糸洲安恒,Ankō Itosu,1831,1915,1856,Shuri,shuri-te|karate-generic|te|okinawan-karate-generic,shuri-te,shuri-te,5,21,934,yes,,,,https://en.wikipedia.org/wiki/Ank%C5%8D_Itosu
R0197,Anko Sadoyama,佐渡山安恒,,,,,Okinawa,shuri-te|genseiryu,shuri-te,shuri-te,0,1,5,yes,,,yes,
Q251784,Annan,,,,,,,te,te,te,0,3,952,yes,,,,https://en.wikipedia.org/wiki/Anan
W0028,Ansei Arakaki,,Arakaki Ansei,,,,,,,,12,0,0,yes,,,yes,
N0155,Ansei Misato,,,,,,,,,,0,2,123,yes,,,yes,
Q4770567,Ansei Ueshiro,宇江城安盛,,1933,2002,1958,Shuri,matsubayashi-ryu|karate-generic|okinawan-kobudo|shorin-ryu|shuri-te|tomari-te|kobayashi-shorin-ryu|ueshiro-shorin-ryu,matsubayashi-ryu,shuri-te,15,3,3,yes,,,,https://en.wikipedia.org/wiki/Matsubayashi-ry%C5%AB
A0197,Antonio Diaz,,,1980,,,,shito-ryu|inoue-ha-shito-ryu,shito-ryu,japanese,17,0,0,yes,,,yes,https://en.wikipedia.org/wiki/Antonio_D%C3%ADaz_(karateka)
J0003,Anyu Shinjo,新城安勇,Shinjo Anyu,1942,,,,goju-ryu|jundokan,goju-ryu,naha-te,13,0,0,yes,Hanshi 10th dan — Okinawa Karate News register (2018),,yes,
B0021,Arakaki no TANMEI,,,,,,,,,,,0,0,,,,yes,
A0191,Arata Kinjo,金城新,,1991,,,,,,,15,0,0,yes,,,yes,https://ja.wikipedia.org/wiki/%E9%87%91%E5%9F%8E%E6%96%B0
Q4785266,Arcenio James Advincula,,,1938,,1963,Naha,isshin-ryu|goju-ryu|shorin-ryu|uechi-ryu|ryukyu-kobudo|okinawan-kobudo|isshin-ryu-kobudo|isshin-ryu-uika,isshin-ryu,shuri-te,16,0,0,yes,,,,https://en.wikipedia.org/wiki/Arcenio_James_Advincula
Q4807592,Ason,,,,,,,te|katori-shinto-ryu,katori-shinto-ryu,other,0,3,985,yes,,,,https://en.wikipedia.org/wiki/Ason
Q2869852,Atsuko Wakai,若井敦子,,1971,,1996,,goju-ryu|shito-ryu|goju-kai|japanese-karate-generic|karate-generic|shukokai,goju-ryu,naha-te,17,0,0,yes,,,,https://en.wikipedia.org/wiki/Atsuko_Wakai
R0048,Atsuo Hiruma,,,1941,,,"Kanagawa, Japan; Spain and France",shotokai,shotokai,japanese,16,0,0,yes,,,yes,
Q18413638,Atsuo Yamashita,,,,,1917,,wado-ryu|karate-generic|te,wado-ryu,japanese,15,0,0,yes,,,,https://fr.wikipedia.org/wiki/Atsuo_Yamashita
A0205,Azad Kazimov,Azad Kazımov,,,,,,karate-generic|judo,judo,other,0,1,2,yes,,,yes,https://ru.wikipedia.org/wiki/Карате_в_Азербайджане
J0164,Bae Young-ki,배영기,,,,,Seoul,ji-do-kwan,ji-do-kwan,korean,16,0,0,yes,,,yes,
J0159,Baek Joon-ki,백준기,,,,,Korea,chung-do-kwan|oh-do-kwan|itf-taekwondo,chung-do-kwan,korean,16,0,0,yes,,,yes,
A0016,Bakkies Laubscher,,,1948,,,,goju-ryu|karate-generic|iogkf,goju-ryu,naha-te,14,0,0,yes,,,yes,
R0014,Barry Stranack,,,,,,Rhodesia (Zimbabwe) and South Africa,sankukai|shukokai,sankukai,japanese,15,0,0,yes,,,yes,
A0035,Benito Higa,,,,,,,shorin-ryu-kyudokan|kobayashi-shorin-ryu,shorin-ryu-kyudokan,shuri-te,20,0,0,yes,,,yes,
