id,label,parent,family,founder,founded,ancestry,n_people,aliases
chinese-martial-arts,Chinese Martial Arts,,chinese,,,Chinese Martial Arts,19,Chinese Martial Arts
chuan-fa,Chuan Fa,,chinese,,,Chuan Fa,9,Ch'uan Fa; Chuan Fa; Quan Fa
feeding-crane,Feeding Crane (Shihequan),fujian-white-crane,chinese,Zheng Li 鄭禮 (branch origin); transmitted at the seventh generation by Cai Zhong 蔡忠 to Cai Gongsong 蔡公頌 and then Lin Deshun 林德順,1927,Feeding Crane (Shihequan) < Fujian White Crane < Chinese Martial Arts,0,
flying-crane,Flying Crane (Feihequan),fujian-white-crane,chinese,"Zheng Ji 鄭濟, pupil of Zheng Li 鄭禮 (single-source attribution)",,Flying Crane (Feihequan) < Fujian White Crane < Chinese Martial Arts,1,
fujian-white-crane,Fujian White Crane,chinese-martial-arts,chinese,Fang Qiniang,1650,Fujian White Crane < Chinese Martial Arts,11,Báihèquán; Fujian White; Fujian White Crane; White Crane; Yongchun Baihequan; Yongchun White Crane; 白鶴拳
huzunquan,Tiger Boxing (Huzunquan),chinese-martial-arts,chinese,Li Yuanzhu 李元珠 (estimated 1716-1793),,Tiger Boxing (Huzunquan) < Chinese Martial Arts,3,
jumping-crane,Jumping or Ancestral Crane (Zonghequan),fujian-white-crane,chinese,Fang Shipei 方世培 (taboo name Huishi 徽石),,Jumping or Ancestral Crane (Zonghequan) < Fujian White Crane < Chinese Martial Arts,0,
kung-fu,Kung Fu,,chinese,,,Kung Fu,28,Kung Fu
luohan-quan,"Luohan Quan (Monk Fist, Arhat Boxing)",chinese-martial-arts,chinese,"no single founder; monastic transmission with regional lines (Quanzhou, Zhangzhou, Yongfu, Fuzhou)",,"Luohan Quan (Monk Fist, Arhat Boxing) < Chinese Martial Arts",1,
sleeping-crane,Sleeping Crane (Suhequan),fujian-white-crane,chinese,"not securely recorded; the Italian survey names Lin Chuanwu 林傳武 of Chengmen 城門, Fuzhou, taught five years by the monk Jue Qing 覺清 at Shimen temple 石門寺",,Sleeping Crane (Suhequan) < Fujian White Crane < Chinese Martial Arts,0,
whooping-crane,Whooping Crane (Minghequan),fujian-white-crane,chinese,"Xie Zongxiang (Xie Zhongxiang, 'Ryū Ryū Ko')",1883,Whooping Crane (Minghequan) < Fujian White Crane < Chinese Martial Arts,4,Calling Crane; Crying Crane; Minghequan; Whooping Crane (Minghequan); Whooping Crane Fist; 鳴鶴拳
asai-ryu,Asai-ha Shōtōkan-ryū (Japan Karate Shoto Federation),jka,japanese,Tetsuhiko Asai,2000,Asai-ha Shōtōkan-ryū (Japan Karate Shoto Federation) < Shotokan (Japan Karate Association line) < Shotokan < Shuri-te < Te,2,Asai-ha Shōtōkan-ryū (Japan Karate Shoto Federation); Asai-ryū; JKS; Japan Karate Shotorenmei; NPO Japan Karate Shōtōkai
bushin-kan,Bushin Kan (武心館),dai-nippon-butokukai,japanese,Hiroyuki Tesshin Hamada,,Bushin Kan (武心館) < Dai Nippon Butokukai,4,Bushin Kan (武心館); 武心館
butoku-kan-brazil,Butoku-kan (Escola de Karatê Butoku-kan),jka,japanese,Taketo Okuda,,Butoku-kan (Escola de Karatê Butoku-kan) < Shotokan (Japan Karate Association line) < Shotokan < Shuri-te < Te,0,
byakuren,Byakuren Kaikan,,japanese,Masayasu Sugihara,1984,Byakuren Kaikan,0,Byakuren Kaikan; Kokusai Karate Kenpō Renmei Byakuren Kaikan; 白蓮会館
chikubu-kai,Kuniba-ryū Karate-dō Chikubu-kai,kuniba-ha,japanese,William H. Price,1995,Kuniba-ryū Karate-dō Chikubu-kai < Kuniba-ha Shitō-ryū (Kuniba-kai) < Motobu-ha Shito-Ryu < Shito-Ryu < Shuri-te < Te,0,
chishin-ryu-heiho,Muso Chishin-ryu Heiho (無双知心流兵法),bushin-kan,japanese,Hiroyuki Tesshin Hamada,,Muso Chishin-ryu Heiho (無双知心流兵法) < Bushin Kan (武心館) < Dai Nippon Butokukai,4,"Muso Chishin-ryu Heiho (無双知心流兵法); 無双知心流兵法 (kanji inferred, not confirmed in a Japanese source)"
chito-ryu,Chito-Ryu,shuri-te,japanese,Tsuyoshi Chitose,1946,Chito-Ryu < Shuri-te < Te,14,Chito-Ryu; Chito-kai; Chitoryu; chitoryu
dento-shito-ryu,Dentō Shitō-ryū,shito-ryu,japanese,Kenei Mabuni,,Dentō Shitō-ryū < Shito-Ryu < Shuri-te < Te,2,Dento Shito Ryu International; Dentō Shitō-ryū; Traditional Shitō-ryū (Kenei Mabuni line)
doshinkan,Karatedō Dōshinkan,shudokan,japanese,Isao Ichikawa,1966,Karatedō Dōshinkan < Shudokan < Shuri-te < Te,3,Doshinkan; Karatedō Dōshinkan; Nihon Karatedō Dōshinkan; 道心館
fska,Funakoshi Shotokan Karate Association,jka,japanese,Kenneth Funakoshi,1987,Funakoshi Shotokan Karate Association < Shotokan (Japan Karate Association line) < Shotokan < Shuri-te < Te,1,
genbu-kai,Demura-ha Shitō-ryū Genbu-kai,itosu-ryu,japanese,Fumio Demura,1999,Demura-ha Shitō-ryū Genbu-kai < Itosu-Ryu < Shito-Ryu < Shuri-te < Te,3,Demura-ha Shitō-ryū Genbu-kai; Genbu-Kai; Japan Karate-do Genbu-kai; Shito-Ryu Karate-Do Genbu-Kai International; Shitō-ryū Karate-dō Genbu-kai International
genwakai,Genwakai (Nihon Budō Karate Genwakai),genseiryu,japanese,Nangō Tsugumasa (with former Renbukai and university club members),,Genwakai (Nihon Budō Karate Genwakai) < Genseiryū < Shuri-te < Te,1,Genwakai (Nihon Budō Karate Genwakai); Japan Budo Karate Genwakai; 日本武道空手玄和会
gima-ha,Gima-ha Shōtō-ryū,shotokan,japanese,Gima Shinkin (Makoto Gima),1956,Gima-ha Shōtō-ryū < Shotokan < Shuri-te < Te,1,Gima-ha Shotokan-ryu; Gima-ha Shōtō-ryū; 儀間派
gosoku-ryu,Gosoku-Ryu,shotokan,japanese,Takayuki Kubota,1953,Gosoku-Ryu < Shotokan < Shuri-te < Te,3,Gosoku Ryu; Gosoku RyuBackground; Gosoku-ryu; Gosoku-ryuBackground; International Karate Association
hayashi-ha-shito-ryu,Hayashi-ha Shitō-ryū,motobu-ha-shito-ryu,japanese,Teruo Hayashi,1970,Hayashi-ha Shitō-ryū < Motobu-ha Shito-Ryu < Shito-Ryu < Shuri-te < Te,4,Hayashi-Ha Shitoryu-Kai; Hayashi-ha Shitō-ryū-kai; Japan Karatedo Hayashi-ha Shitoryukai; hayashi-ha-shito-ryu; 日本空手道林派糸東流会
inoue-ha-shito-ryu,Inoue-ha Shitō-ryū Keishin-kai,hayashi-ha-shito-ryu,japanese,Yoshimi Inoue,2004,Inoue-ha Shitō-ryū Keishin-kai < Hayashi-ha Shitō-ryū < Motobu-ha Shito-Ryu < Shito-Ryu < Shuri-te < Te,4,Inoue-ha Shito-ryu; Inoue-ha Shito-ryu Keishinkai; Inoue-ha Shitō-ryū Keishin-kai; Keishin-kai; 井上派糸東流慶心会
iskf,International Shotokan Karate Federation (Okazaki-ha),jka,japanese,Teruyuki Okazaki,1977,International Shotokan Karate Federation (Okazaki-ha) < Shotokan (Japan Karate Association line) < Shotokan < Shuri-te < Te,3,ISKF; International Shotokan Karate Federation (Okazaki-ha)
itosu-ryu,Itosu-Ryu,shito-ryu,japanese,Ryusho Sakagami,1969,Itosu-Ryu < Shito-Ryu < Shuri-te < Te,8,Itosu Ryu; Itosu-ha Shitō-ryū; Itosu-kai; Japan Karatedo Itosu-kai; Japan Karatedō Itosu-kai; 日本空手道糸洲会
japanese-karate-generic,Japanese Karate,,japanese,,,Japanese Karate,91,Japanese Karate
jka,Shotokan (Japan Karate Association line),shotokan,japanese,Senior students of Gichin Funakoshi (honorary shihan); first chief instructor Masatoshi Nakayama,1949,Shotokan (Japan Karate Association line) < Shotokan < Shuri-te < Te,21,JKA; Japan Karate Association; Nihon Karate Kyōkai; Shotokan (Japan Karate Association line); 日本空手協会
jska,Japan Shotokan Karate Association (Abe-ha),jka,japanese,Keigo Abe,1999,Japan Shotokan Karate Association (Abe-ha) < Shotokan (Japan Karate Association line) < Shotokan < Shuri-te < Te,2,JSKA; Japan Shotokan Karate Association (Abe-ha)
kanbukan,Kanbukan (韓武舘),shudokan,japanese,,1945,Kanbukan (韓武舘) < Shudokan < Shuri-te < Te,0,Kanbukan (韓武舘)
kase-ha,Kase-ha Shōtōkan-ryū,jka,japanese,Taiji Kase (with Hiroshi Shirai),1989,Kase-ha Shōtōkan-ryū < Shotokan (Japan Karate Association line) < Shotokan < Shuri-te < Te,3,Kase-ha Shōtōkan-ryū; Shotokan Ryu Kase Ha; WKSA; World Kase-Ha Shotokan Karate-do Academy
kawata-ha-seikukai,Kawata-ha Seikūkai,shukokai,japanese,Shigemasa Kawata,1998,Kawata-ha Seikūkai < Shukokai < Shito-Ryu < Shuri-te < Te,1,Kawata-ha Seikukai Karate; Kawata-ha Seikūkai; Kawata-ha Shitō-ryū; Seikukai; Seikukai Karate
kendokai,Kendōkai,,japanese,Nakamura Hideo,1983,Kendōkai,1,Karate-dō Kendōkai; Kendō (Nakamura kempō); Kendōkai; 拳道会
kenkojuku,Kenkōjuku,shotokan,japanese,Tomosaburō Okano,1942,Kenkōjuku < Shotokan < Shuri-te < Te,3,Kenkojuku Budokan; Kenkokai Karate-bu; Kenkōjuku; 健康塾
kenyu-ryu,Kenyū-ryū,shito-ryu,japanese,Takamasa Tomoyose,1939,Kenyū-ryū < Shito-Ryu < Shuri-te < Te,1,Kenyu-ryu Karate-do; Kenyū-ryū; Tomoyori-ha; 賢友流空手道
kimura-shukokai,Kimura Shūkōkai,shukokai,japanese,Shigeru Kimura,1996,Kimura Shūkōkai < Shukokai < Shito-Ryu < Shuri-te < Te,7,KSI; Kimura Shukokai International; Kimura Shūkōkai
koden-shindo-ryu,Nihon Koden Shindō-ryū Karate-dō (日本古伝神道流空手道),tomari-te,japanese,Hiroyuki Hamada,1964,Nihon Koden Shindō-ryū Karate-dō (日本古伝神道流空手道) < Tomari-te < Te,1,Nihon Koden Shindō-ryū Karate-dō (日本古伝神道流空手道); 日本古伝神道流空手道
koei-kan,Kōei-kan,shudokan,japanese,Eizo Onishi,1952,Kōei-kan < Shudokan < Shuri-te < Te,2,Koeikan Karate-do; koei-kan
kofukan,Kōfukan (Tani-ha Shitō-ryū Kōfukan International),shukokai,japanese,Yasuhiro Suzuki,1974,Kōfukan (Tani-ha Shitō-ryū Kōfukan International) < Shukokai < Shito-Ryu < Shuri-te < Te,3,Kofukan International; Kōfukan (Tani-ha Shitō-ryū Kōfukan International); Shukokai World Karate Union Europe; Tani-ha Shitoryu Karate-do Kofukan
kotaka-ha-shito-ryu,Kotaka-ha Shitō-ryū,motobu-ha-shito-ryu,japanese,Chuzo Kotaka,1966,Kotaka-ha Shitō-ryū < Motobu-ha Shito-Ryu < Shito-Ryu < Shuri-te < Te,0,International Karate Federation (Hawaii); International Karate Federation (IKF Hawaii); Kotaka-Ha Shito-Ryu; Kotaka-ha Shitō-ryū
kuniba-ha,Kuniba-ha Shitō-ryū (Kuniba-kai),motobu-ha-shito-ryu,japanese,Shogo Kuniba,1992,Kuniba-ha Shitō-ryū (Kuniba-kai) < Motobu-ha Shito-Ryu < Shito-Ryu < Shuri-te < Te,4,Kuniba-ha Shitō-ryū (Kuniba-kai); Kuniba-kai International; Kuniba-ryu Karate-Do; Kuniba-ryū Goshindō; Kuniba-ryū Karate-dō; Nihon Karate-do Kuniba-kai
kusano-ha-shito-ryu,Kusano-ha Shitō-ryū Kenpō,shukokai,japanese,Kenji Kusano,1979,Kusano-ha Shitō-ryū Kenpō < Shukokai < Shito-Ryu < Shuri-te < Te,1,Kenshikan; Kusano-ha Shitō-ryū Kenpō; Kusano-ha Shitō-ryū Kenpō Karate-dō; World Kenshikan Kenpo Karatedo Association; 草野派糸東流拳法空手道会
kushin-ryu,Kushin-Ryu,goju-ryu,japanese,Sannosuke Ueshima,1932,Kushin-Ryu < Goju-Ryu < Naha-te < Te,3,Kushin Ryu; Kushin Ryu M Karate Do; Kushin Ryu M Karate-Do Indonesia (KKI); Kushin-Ryu; 空真流
kushin-ryu-kinjo,"Kūshin-ryū (空慎流, Kinjō line)",shito-ryu,japanese,,,"Kūshin-ryū (空慎流, Kinjō line) < Shito-Ryu < Shuri-te < Te",0,"Kūshin-ryū (空慎流, Kinjō line); 空慎流"
kwf,Karatenomichi World Federation (Yahara-ha),jka,japanese,Mikio Yahara,2000,Karatenomichi World Federation (Yahara-ha) < Shotokan (Japan Karate Association line) < Shotokan < Shuri-te < Te,1,KWF; Karatenomichi; Karatenomichi World Federation (Yahara-ha)
meibukai-shito-ryu,Shitō-ryū Meibukai,shito-ryu,japanese,Masatoshi Fujitani,,Shitō-ryū Meibukai < Shito-Ryu < Shuri-te < Te,0,Fujitani-ha; Nihon Karatedō Meibukai; Shitō-ryū Meibukai; 日本空手道明武会
motobu-ha-shito-ryu,Motobu-ha Shito-Ryu,shito-ryu,japanese,Kosei Kuniba,1943,Motobu-ha Shito-Ryu < Shito-Ryu < Shuri-te < Te,8,Kokuba-ha; Kuniba-Kai; Motobu-Ha Shito-Ryu; Seishin-kai; Seishin-kai Karate Union; Seishin-kan; Seishinkai; kuniba-ryu; 聖心会
nanbudo,Nanbudo,sankukai,japanese,Yoshinao Nanbu,1978,Nanbudo < Sankukai < Shukokai < Shito-Ryu < Shuri-te < Te,1,Nanbudo; nanbudo
nihon-bogu-karate,Nihon Bōgu Karate-dō Renmei (日本防具空手道連盟),renbukai,japanese,Katsumi Uesugi,2003,Nihon Bōgu Karate-dō Renmei (日本防具空手道連盟) < Renbukai (Zen Nihon Karatedō Renmei Renbukai) < Shudokan < Shuri-te < Te,1,Nihon Bōgu Karate-dō Renmei (日本防具空手道連盟); 日本防具空手道連盟
nihon-kenpo-karate-do,Nihon Kenpō Karate-dō (日本拳法空手道),motobu-ryu,japanese,Tatsuo Yamada,,Nihon Kenpō Karate-dō (日本拳法空手道) < Motobu-Ryu < Shuri-te < Te,1,Nihon Kenpō Karate-dō (日本拳法空手道); 日本拳法空手道
nippon-kempo,Nippon Kempō,shito-ryu,japanese,Muneomi Sawayama,1932,Nippon Kempō < Shito-Ryu < Shuri-te < Te,0,Nihon Kempo; Nippon Kempō; 日本拳法
nobukawa-ha-shito-ryu,Nobukawa-ha Shitō-ryū,shito-ryu,japanese,Kuniaki Nobukawa,2001,Nobukawa-ha Shitō-ryū < Shito-Ryu < Shuri-te < Te,2,Japan Karate-dō Nobukawa-ha Shitō-ryū Kai; Nobukawa-ha Shito-Ryu Kai; Nobukawa-ha Shitō-ryū; 日本空手道信川派糸東流会
ogasahara-ha-shito-ryu,Ogasahara-ha Shitō-ryū (Kenshukai),shito-ryu,japanese,Eiji Ogasahara,,Ogasahara-ha Shitō-ryū (Kenshukai) < Shito-Ryu < Shuri-te < Te,0,Japan Kenshukai Karate Association; Kenshukai Shito-ryu; Kenshukai Shitō-ryū; Ogasahara-ha Shitō-ryū (Kenshukai)
renbukai,Renbukai (Zen Nihon Karatedō Renmei Renbukai),shudokan,japanese,Senior students of Kanken Tōyama (first director Yun Kwae-byung); founded as Kanbukan,1945,Renbukai (Zen Nihon Karatedō Renmei Renbukai) < Shudokan < Shuri-te < Te,8,All Japan Karatedo Federation Renbukai; Kanbukan; Renbukai (Zen Nihon Karatedō Renmei Renbukai); Renbukan; 錬武会; 錬武舘; 韓武舘
sankukai,Sankukai,shukokai,japanese,Yoshinao Nanbu,1971,Sankukai < Shukokai < Shito-Ryu < Shuri-te < Te,2,Sankukai; Sankukai Karate; sankukai; sankukai-karate; 三空会
sato-ha-shito-ryu,Satō-ha Shitō-ryū,seiko-kai,japanese,Akira Sato,2017,Satō-ha Shitō-ryū < Suzuki-ha Shitō-ryū Seikō-kai < Itosu-Ryu < Shito-Ryu < Shuri-te < Te,1,Sato Ha Shito Ryu International Federation; Sato-Ha Shito-Ryu Kokusai Rengo; Satō-ha Shitō-ryū
seiki-kai-shito-ryu,Shitō-ryū Seiki-kai,shito-ryu,japanese,Masaru Watanabe,1946,Shitō-ryū Seiki-kai < Shito-Ryu < Shuri-te < Te,1,Nihon Karatedō Seikikai; Shitō-ryū Seiki-kai; 日本空手道正氣會
seiko-kai,Suzuki-ha Shitō-ryū Seikō-kai,itosu-ryu,japanese,Seiko Suzuki,1994,Suzuki-ha Shitō-ryū Seikō-kai < Itosu-Ryu < Shito-Ryu < Shuri-te < Te,2,Japan Karatedo Seikokai; Seiko-Kai; Suzuki-Ha Shito-Ryu Nihon Karatedo Seiko-Kai; Suzuki-ha Shitō-ryū Nihon Karatedō Seikō-kai; Suzuki-ha Shitō-ryū Seikō-kai
seito-shito-ryu,Seitō Shitō-ryū,shito-ryu,japanese,Kenzo Mabuni,1952,Seitō Shitō-ryū < Shito-Ryu < Shuri-te < Te,0,Nihon Karate-dō Kai; Nippon Karate-do Kai; Seito Shito-ryu; Seitō Shitō-ryū; Shito-Ryu International Karate-Do Kai; Shitō-ryū International Karate-dō Kai; 日本空手道会
shindo-jinen-ryu,Shindo Jinen-Ryu,shuri-te,japanese,Yasuhiro Konishi,1933,Shindo Jinen-Ryu < Shuri-te < Te,7,Japan Karate-Do Ryobu-Kai; Ryobu-kai; Ryōbu-kai; Shindo Jinen Ryu; Shindo jinen-ryu; 神道自然流
shingo-ha-yoshukai,Shingo-ha Yoshukai,yoshukai,japanese,Mike Sadler,,Shingo-ha Yoshukai < Yoshukai < Chito-Ryu < Shuri-te < Te,0,
