node_id,qid,page_title,name_unicode,name_ascii,given_name_unicode,surname_unicode,given_name_ascii,surname_ascii,actual_name_unicode,actual_name_ascii,birth_year,death_year,instructor_start_year,date,okinawa_locality,styles_all,needs_review,wikipedia_url,style_1,style_2,style_3,style_4,style_5,style_6,style_7,style_8,style_9,style_10
Q6918025,Q6918025,Motokatsu Inoue,Motokatsu Inoue,Motokatsu Inoue,Motokatsu,Inoue,Motokatsu,Inoue,Motokatsu Inoue,Motokatsu Inoue,1918.0,1993.0,1943.0,1943.0,unknown,detailing Kobudo|Karate|Koga-ryu|Te,0,https://en.wikipedia.org/wiki/Motokatsu_Inoue,detailing Kobudo,Karate,Koga-ryu,Te,,,,,,
Q2943981,Q2943981,Tatsuo Yamada,Tatsuo Yamada,Tatsuo Yamada,Tatsuo,Yamada,Tatsuo,Yamada,Tatsuo Yamada,Tatsuo Yamada,1956.0,2009.0,1981.0,1981.0,unknown,Karate|Te,0,https://en.wikipedia.org/wiki/Tatsuo_Yamada,Karate,Te,,,,,,,,
C00064,,Seiryo Shinjo,Seiryo Shinjo,Seiryo Shinjo,Seiryo,Shinjo,Seiryo,Shinjo,Seiryo Shinjo,Seiryo Shinjo,,,,,unknown,,1,,Karate,,,,,,,,,
C00065,,Uechi Kanmei,Uechi Kanmei,Uechi Kanmei,Uechi,Kanmei,Uechi,Kanmei,Uechi Kanmei,Uechi Kanmei,,,,,unknown,,1,,Karate,,,,,,,,,
Q706726,Q706726,Gozo Shioda,Gozo Shioda,Gozo Shioda,Gozo,Shioda,Gozo,Shioda,Gozo Shioda,Gozo Shioda,1915.0,1994.0,1940.0,1940.0,unknown,Yoshinkan|Kyokushin|Aikikai|Japan Kobudo|Karate|Te,0,https://en.wikipedia.org/wiki/Gozo_Shioda,Yoshinkan,Kyokushin,Aikikai,Japan Kobudo,Karate,Te,,,,
C00075,,Kenchu Nakaima,Kenchu Nakaima,Kenchu Nakaima,Kenchu,Nakaima,Kenchu,Nakaima,Kenchu Nakaima,Kenchu Nakaima,,,,,unknown,,1,,Karate,,,,,,,,,
C00076,,Sugaya Ueshima,Sugaya Ueshima,Sugaya Ueshima,Sugaya,Ueshima,Sugaya,Ueshima,Sugaya Ueshima,Sugaya Ueshima,,,,,unknown,,1,,Karate,,,,,,,,,
Q11391351,Q11391351,Akihito Yagi,Akihito Yagi,Akihito Yagi,Akihito,Yagi,Akihito,Yagi,Akihito Yagi,Akihito Yagi,1977.0,,2002.0,2002.0,Naha,Meibukan|Goju-Ryu|Karate|Te,0,https://en.wikipedia.org/wiki/Akihito_Yagi,Meibukan,Goju-Ryu,Karate,Te,,,,,,
Q11501557,Q11501557,Kiyoshi Arakaki,Kiyoshi Arakaki,Kiyoshi Arakaki,Kiyoshi,Arakaki,Kiyoshi,Arakaki,Kiyoshi Arakaki,Kiyoshi Arakaki,1954.0,,1979.0,1979.0,Shuri,Karate|Matsubayashi-Ryu|Okinawan Kobudo|Shuri-te|Okinawa Kobudo|Okinawan Karate|Te|United States Civil Administration of the Ryukyu Islands,0,https://en.wikipedia.org/wiki/Kiyoshi_Arakaki,Karate,Matsubayashi-Ryu,Okinawan Kobudo,Shuri-te,Okinawa Kobudo,Okinawan Karate,Te,United States Civil Administration of the Ryukyu Islands,,
Q1909096,Q1909096,Higa Peechin,Higa Peechin,Higa Peechin,Higa,Peechin,Higa,Peechin,Higa Peechin,Higa Peechin,1790.0,1870.0,1815.0,1815.0,unknown,Shorin-Ryu|Okinawan Kobudo|Ryukyu Kobudo|Chinese Martial Arts|Karate|Okinawan Karate|Quan Fa|shorinryu|Te|Tode,0,https://en.wikipedia.org/wiki/Higa_Peechin,Shorin-Ryu,Okinawan Kobudo,Ryukyu Kobudo,Chinese Martial Arts,Karate,Okinawan Karate,Quan Fa,shorinryu,Te,Tode
Q6782576,Q6782576,Masanobu Kikukawa,Masanobu Kikukawa,Masanobu Kikukawa,Masanobu,Kikukawa,Masanobu,Kikukawa,Masanobu Kikukawa,Masanobu Kikukawa,1954.0,,1979.0,1979.0,unknown,Shorin-Ryu|Okinawan Kobudo|Karate|Okinawan Karate|Shorin-ryu Shinkokai|Te,0,https://en.wikipedia.org/wiki/Masanobu_Kikukawa,Shorin-Ryu,Okinawan Kobudo,Karate,Okinawan Karate,Shorin-ryu Shinkokai,Te,,,,
