inherited,branch_reach,id,name,native,born,died,style,family,reach,direct,prominent,breadth,generations,teachers,teacher_styles,honours
,1048,C00145,Iwah,,,,,other,1048,6,5,204,7,0,0,
,1014,Q954330,Ryu Ryu Ko,ルールーコウ,,,,chinese,1014,9,7,204,8,0,0,
,1009,C00639,Wai Shin Zan,魏新賢,,,,other,1009,7,6,204,7,1,4,
,1001,Q1929108,Kusanku,公相君,,,,chinese,1001,3,2,202,8,0,0,
yes,0,Q8031976,Wong Chung-Yoh,,,,,other,1000,1,1,202,10,0,0,
yes,0,Q542989,Chatan Yara,北谷屋良,1668,1756,,te,999,1,1,202,9,2,4,
yes,0,Q1336547,Takahara Peichin,高原親雲上,1684,1760,,chinese,998,1,1,202,8,1,3,
,997,Q921673,Kanga Sakukawa,佐久川寛賀,1733,1815,,shuri-te,997,5,3,202,7,2,6,
,985,Q4807592,Ason,,,,,te,985,3,3,199,7,0,0,
yes,0,C00646,Yashichiro Ijuin,,,,,other,978,1,1,199,7,0,0,
,977,Q715769,Sokon Matsumura,松村宗棍,1809,1899,,shuri-te,977,18,14,199,6,4,7,
,952,Q251784,Annan,,,,,te,952,3,3,199,8,0,0,
yes,0,B0012,Shiroma (Gusukuma) of Tomari,,,,,tomari-te,935,1,1,199,7,1,1,
yes,0,W0015,Bushi Nagahama,,,,,other,935,1,1,199,7,1,1,
,934,Q527422,Anko Itosu,糸洲安恒,1831,1915,,shuri-te,934,21,19,199,6,3,5,
,932,C00206,Karyu Uku,宇久嘉隆,1800,1850,,other,932,2,2,197,9,0,0,
,932,C00251,Kishin Teruya,照屋規箴,1804,1864,,other,932,2,2,197,9,0,0,
,927,Q3028499,Kosaku Matsumora,松茂良興作,1829,1898,,tomari-te,927,11,6,197,8,4,7,
yes,0,C00269,Kojo UEKATA,蔡肇功,1656,1737,,te,921,1,1,201,10,0,0,
yes,0,C00268,Kojo PECHIN,,,,,te,920,1,1,201,9,1,2,
,919,C00522,Shoi Sai,蔡昌偉,1816,1906,,other,919,2,2,201,8,1,2,
yes,0,A0207,Chohei Motobu,本部王子朝平,1655,1687,,shuri-te,917,1,1,197,17,0,0,
yes,0,A0208,Chokan Motobu,本部按司朝完,,,,shuri-te,916,1,1,197,16,1,1,
yes,0,A0209,Chochi Motobu,本部按司朝智,,,,shuri-te,915,1,1,197,15,1,1,
yes,0,A0210,Choryu Motobu,本部王子朝隆,,,,shuri-te,914,1,1,197,14,1,1,
yes,0,C00028,Choko Motobu,本部朝恒,,,,other,913,1,1,197,13,1,1,
yes,0,C00020,Chokyu Motobu,本部朝救,1741,1814,,other,912,1,1,197,12,1,1,
yes,0,A0165,Choei Motobu,本部朝英,,,,shuri-te,911,1,1,197,11,1,1,
yes,0,A0166,Chotoku Inohama,伊野波朝徳,,,,shuri-te,910,1,1,197,10,1,1,
,910,KP008,Wai Shinzan,魏新賢,,,,chinese,910,3,3,201,7,0,0,
yes,0,C00042,Chosho Motobu,本部朝章,,,,other,909,1,1,197,9,1,1,
yes,0,A0029,Choshin Motobu,本部朝真,,,,shuri-te,908,1,1,197,8,1,1,
,907,Q584466,Seisho Arakaki,新垣世璋,1840,1918,,te,907,5,5,200,7,3,5,
,907,Q706389,Choyu Motobu,本部朝勇,1865,1928,,shuri-te,907,11,9,197,7,4,10,
yes,0,A0184,Fang Zhong,方種,,,,chinese,854,1,1,197,13,0,0,
,853,A0185,Fang Qiniang,方七娘,,,,chinese,853,2,2,197,12,1,1,
yes,0,A0186,Zeng Si,曾四,,,,chinese,852,1,1,197,12,1,1,
yes,0,A0187,Zheng Li,鄭禮,,,,chinese,851,1,1,196,11,2,1,
yes,0,A0188,Lin Shixian,林世咸,,,,chinese,850,1,1,196,10,1,2,
yes,0,A0189,Pan Yuba (Lin Dachong),林達崇,,,,chinese,849,1,1,196,9,1,1,
,849,C00564,Taitei Kojo,湖城大禎,1837,1917,,te,849,3,2,196,7,5,5,
yes,0,Q16907056,Xie Zongxiang,謝崇祥,1852,1930,,naha-te,848,1,1,195,8,1,1,
,847,Q699236,Kanryo Higaonna,東恩納寛量,1853,1915,,shuri-te,847,11,8,195,7,7,8,
,772,C00084,Gokenki,呉賢貴,1886,1940,,chinese,772,6,6,181,6,0,0,
,772,KP001,Tang Daiji,唐大基,1887,1937,,chinese,772,4,4,181,7,0,0,
,772,KP024,Wu Xiangui,呉賢貴,1886,1940,,chinese,772,4,4,181,7,0,0,
yes,0,N0222,Miao Xing,妙興,1891,1927,,chinese,765,1,1,180,8,0,0,
,764,Q221121,Chojun Miyagi,宮城長順,1888,1953,,naha-te,764,30,25,179,7,7,14,
,715,Q705617,Chomo Hanashiro,花城長茂,1869,1945,,japanese,715,11,11,171,7,2,8,
,673,KN011,Tawada Shinboku,多和田真牧,1851,1920,,kobudo,673,2,2,164,7,1,5,
yes,0,C00141,Isei Kojo,湖城以正,1832,1891,,te,627,1,1,156,9,2,1,
