inherited,branch_reach,id,name,native,born,died,style,family,reach,direct,prominent,breadth,generations,teachers,teacher_styles,honours
,0,A0162,Shiohira Peichin (Shionja),潮平親雲上,1710,,,other,0,0,0,0,0,1,4,
,0,C00026,Choken Makabe,真壁朝顕,1769,1823,,other,0,0,0,0,0,1,6,
,0,W0018,Bokuhitsu Nakazato,,1835,1902,,other,0,0,0,0,0,1,5,
,0,C00436,Ryosei Kuwae,桑江良正,1853,1939,,other,0,0,0,0,0,2,6,
,0,C00001,Homei Kojo (Akahige),湖城鳳鳴,1861,1919,,te,0,0,0,0,0,1,2,
,0,Q3276775,Sakujiro Yokoyama,横山作次郎,1864,1912,,te,0,0,0,0,0,1,9,
,0,Q2672426,Tsunejiro Tomita,富田常次郎,1865,1937,,japanese,0,0,0,0,0,1,9,
,0,Q3236604,Yoshitsugu Yamashita,山下義韶,1865,1935,,te,0,0,0,0,0,1,9,
,0,C00657,Chogi Yoshimura,義村朝義,1866,1945,,other,0,0,0,0,0,2,12,
,0,N0128,Giki Yamazato,,1866,1946,,other,0,0,0,0,0,1,5,
,0,Q2637587,Shiro Saigo,西郷四郎,1866,1922,,te,0,0,0,0,0,1,9,
,0,W0020,Kin Ryojin and Kin Ryosho,,1873,1936,,other,0,0,0,0,0,1,5,
,0,C00605,Tokusaburo Matsuda,松田徳三郎,1877,1931,,other,0,0,0,0,0,2,5,
,0,Q2456537,Mitsuyo Maeda,前田光世,1878,1941,,te,0,0,0,0,0,1,9,
,0,J0187,Yukio Tani,谷幸雄,1880,1950,,other,0,0,0,0,0,1,4,
,0,J0120,Hoan Kosugi,小杉放菴,1881,1964,,japanese,0,0,0,0,0,1,9,
,0,W0022,Tokuda Antei,,1884,1979,,other,0,0,0,0,0,1,8,
,0,A0219,Chomo Motobu,本部朝茂,1890,1945,,tomari-te,0,0,0,0,0,3,11,
,0,Q4340844,Vasili Oshchepkov,Василий Ощепков,1893,1937,,chinese,0,0,0,0,0,1,9,
,0,C00072,Genwa Nakasone,仲宗根源和,1895,1978,,other,0,0,0,0,0,1,12,
,0,W0016,Hisateru Miyagi,,1895,,,other,0,0,0,0,0,2,7,
,0,C00476,Seikichi Hokama,,1896,,,other,0,0,0,0,0,6,2,
,0,C00319,Shinkin Gima,儀間真謹,1896,1989,,japanese,0,0,0,0,0,3,14,Hanshi 10th dan — Okinawa Karate News register (2018)
,0,N0176,Kitatsu Kawasaki,,1897,1963,,other,0,0,0,0,0,1,7,
,0,N0096,Shoshu Nagamine,,1897,,,other,0,0,0,0,0,1,1,
,0,Q6389379,Kenji Tomiki,富木謙治,1900,1979,,naha-te,0,0,0,0,0,2,12,
,0,Q982540,Sumiyuki Kotani,小谷澄之,1903,1991,,te,0,0,0,0,0,1,9,
,0,B0011,Kanei Uechi (Shito-ryu),,1904,1993,,japanese,0,0,0,0,0,1,9,
,0,C00174,Kamesuke Higaonna,東恩納亀助,1905,1968,,other,0,0,0,0,0,1,9,
,0,N0033,Seijin Ishikawa,,1905,,,other,0,0,0,0,0,1,0,
,0,N0022,Sawayama Masaru,,1906,1977,,other,0,0,0,0,0,1,9,
,0,C00018,Choboku Takamine,高嶺朝睦,1908,,,other,0,0,0,0,0,1,8,Hanshi 10th dan — Okinawa Karate News register (2018)
