teacher_id,teacher,student_id,student,confidence,evidence,direction_flipped
A0001,Hwang Kee,A0153,Hwang Hyun-chul (H.C. Hwang),high,research:https://en.wikipedia.org/wiki/Hwang_Hyun-chul | research:https://soobahkdo.com/resolution-affirming-the-appointment-of-h-c-hwang-as-hwang-kee-successor/,
A0001,Hwang Kee,J0168,Hong Chong-soo,high,research:https://en.wikipedia.org/wiki/Moo_Duk_Kwan_Taekwondo,
A0001,Hwang Kee,J0169,Kim Young-taek,high,research:https://en.wikipedia.org/wiki/Moo_Duk_Kwan_Taekwondo,
A0001,Hwang Kee,J0170,Lee Kang-ik,high,research:https://en.wikipedia.org/wiki/Moo_Duk_Kwan_Taekwondo,
A0001,Hwang Kee,J0172,Kim Un-chang,high,research:https://mookas.com/news/17586,
A0001,Hwang Kee,Q1678211,Jae Chul Shin,high,research:https://en.wikipedia.org/wiki/Shin_Jae-chul | research:https://www.worldkigong.com/post/the-founder-of-the-wtsda,
A0002,Werner Schenker,Q123398,Andy Hug,high,research:https://en.wikipedia.org/wiki/Andy_Hug,
A0003,Nam Tae-hi,A0178,Han Cha-kyo,high,research:https://en.wikipedia.org/wiki/Han_Cha-kyo | research:https://en.wikipedia.org/wiki/Original_masters_of_taekwondo | research:https://en.wikipedia.org/wiki/Nam_Tae-hi,
A0003,Nam Tae-hi,A0183,Kong Young-il,medium,research:https://en.wikipedia.org/wiki/Kong_Young-il,
A0003,Nam Tae-hi,Q1046410,Jhoon Rhee,high,research:https://en.wikipedia.org/wiki/Jhoon_Rhee | research:https://en.wikipedia.org/wiki/Nam_Tae-hi,
A0004,T'ung Gee Hsing,Q7350475,Robert Trias,low,research:https://en.wikipedia.org/wiki/Robert_Trias | research:https://en.wikipedia.org/wiki/Shuri-ryu | research:https://www.usadojo.com/the-origins-and-development-of-shuri-ryu/,
A0005,William J. Dometrich,Q7924865,Vic Moore,medium,research:https://en.wikipedia.org/wiki/Vic_Moore | research:https://legendsofcarolinamartialarts.com/class-of-2018/victor-moore-nc/,
A0006,Frank Ruiz,Q7364578,Ron van Clief,high,research:https://en.wikipedia.org/wiki/Ron_van_Clief | research:https://gojujitsu.com/about-us/frank-ruiz-3/,
A0007,Shu Shiwa (Zhou Zihe),Q2473562,Kanbun Uechi,high,research:https://en.wikipedia.org/wiki/Kanbun_Uechi | research:https://en.wikipedia.org/wiki/Uechi-Ry%C5%AB | research:https://www.uechiryu-europe.org/en/chronologie/,
A0008,Seiyu Shinjo,A0010,Shinyu Gushi,medium,research:https://www.dragon-tsunami.org/Dtimes/Pages/articleg.htm,
A0008,Seiyu Shinjo,C00628,Tsutomu Nakahodo,medium,research:https://shogunmartialarts.org.uk/karate/okikukai-on-okinawa-mainland-japan-masters/ | research:https://uechi-ryu.com/forums/viewtopic.php?t=21914,
A0008,Seiyu Shinjo,J0039,Yoshitsune Senaga,medium,research:http://karate-k.ru/yoshitsune-senaga-1,
A0008,Seiyu Shinjo,J0041,Minoru Miyagi,high,research:http://web.archive.org/web/20221128154023/http://okinawakaratenews.com/eng/hanshi.php,
A0008,Seiyu Shinjo,Q6418995,Kiyohide Shinjo,high,research:https://en.wikipedia.org/wiki/Kiyohide_Shinjo | research:https://www.kenyukaiinternational.com/history,
A0009,Seiko Toyama,C00628,Tsutomu Nakahodo,medium,research:https://uechi-ryu.com/forums/viewtopic.php?t=21914,
A0011,An'ichi Miyagi,J0001,Shuichi Aragaki,medium,research:https://iogkf.com/2021/09/in-memory-of-aragaki-shuichi-sensei/,
A0011,An'ichi Miyagi,Q2599967,Morio Higaonna,high,research:https://en.wikipedia.org/wiki/Morio_Higaonna | research:https://iogkf.com/sensei-higaonna-morio/,
A0012,Juhatsu Kyoda,A0168,Eizo Onishi,high,research:https://it.wikipedia.org/wiki/Koei-Kan | research:https://en-academic.com/dic.nsf/enwiki/3706481,
A0012,Juhatsu Kyoda,C00212,Katsumi Murakami,medium,book:Bishop p.27,
A0012,Juhatsu Kyoda,J0081,Kazuya Kanzaki,high,research:https://ja.wikipedia.org/wiki/%E7%A5%9E%E5%B4%8E%E5%92%8C%E4%B9%9F,
A0012,Juhatsu Kyoda,J0082,Shigemitsu Kyoda,high,research:https://ja.wikipedia.org/wiki/%E6%9D%B1%E6%81%A9%E6%B5%81,
A0012,Juhatsu Kyoda,Q16006586,Kanki Izumigawa,high,research:https://en.wikipedia.org/wiki/Kanki_Izumigawa | research:https://shuriway.com/izumigawa.html,
A0018,Tachimura no Peichin,C00550,Soko Kishimoto,high,research:https://ilpracticalkarate.com/kishimotodi | research:https://www.karateobsession.com/2020/12/kishimotodi-revisited.html | research:https://blackbeltwiki.com/kishimotodi,
A0020,Shian Toma,A0104,Roy J. Hobbs,high,research:https://en.wikipedia.org/wiki/Okinawa_Seidokan | research:https://www.dentokan.org.uk/ARTS | research:https://lelandkarate.com/about/,
A0020,Shian Toma,A0105,Ron Nix,high,research:https://seidokankarate.org/ron-nix-biography | research:https://en.wikipedia.org/wiki/Okinawa_Seidokan,
