node_id,name,name_native,name_romaji,birth_year,death_year,trained_from_est,locality,styles,primary_style,connected,generation,legendary,added_by_research,wikipedia_url
A0001,Hwang Kee,황기 (黃琦),,1914,2002,,,tang-soo-do|korean-martial-arts|moo-duk-kwan,tang-soo-do,yes,13,,yes,https://en.wikipedia.org/wiki/Hwang_Kee
A0002,Werner Schenker,,,,,,,kyokushin,kyokushin,yes,0,,yes,
A0003,Nam Tae-hi,남태희 (南太熙),,1929,2013,,,taekwondo|tang-soo-do|korean-martial-arts|itf-taekwondo|oh-do-kwan|chung-do-kwan,taekwondo,yes,13,,yes,https://en.wikipedia.org/wiki/Nam_Tae-hi
A0004,T'ung Gee Hsing,,,,,,,kung-fu|shuri-te|kenpo,kung-fu,yes,0,,yes,
A0005,William J. Dometrich,,,1935,2012,,,chito-ryu|dai-nippon-butokukai,chito-ryu,yes,12,,yes,https://en.wikipedia.org/wiki/William_J._Dometrich
A0006,Frank Ruiz,,,1934,1995,,,goju-ryu|karate-generic,goju-ryu,yes,11,,yes,
A0007,Shu Shiwa (Zhou Zihe),周子和,Zhou Zihe,1874,1926,,,kung-fu|chinese-martial-arts|karate-generic,kung-fu,yes,0,,yes,
A0008,Seiyu Shinjo,新城清優,,1929,1981,,,uechi-ryu,uechi-ryu,yes,7,,yes,
A0009,Seiko Toyama,當山清幸,,1928,2009,,,uechi-ryu|uechi-ryu-zankai,uechi-ryu,yes,7,,yes,
A0010,Shinyu Gushi,,,1939,2012,,,uechi-ryu,uechi-ryu,yes,8,,yes,
A0011,An'ichi Miyagi,宮城安一,,1931,2009,,,goju-ryu|iogkf,goju-ryu,yes,9,,yes,
A0012,Juhatsu Kyoda,許田重発,,1887,1968,,,toon-ryu|naha-te|goju-ryu,toon-ryu,yes,8,,yes,https://en.wikipedia.org/wiki/Juhatsu_Kyoda
A0013,Ken Miyagi,宮城敬,,1931,2003,,,,,yes,9,,yes,
A0014,Tetsuji Nakamura,中村哲二,,1965,,,,goju-ryu|karate-generic|iogkf,goju-ryu,yes,11,,yes,
A0015,Kazuo Terauchi,,,,,,,goju-ryu|uechi-ryu|karate-generic,goju-ryu,yes,11,,yes,
A0016,Bakkies Laubscher,,,1948,,,,goju-ryu|karate-generic|iogkf,goju-ryu,yes,11,,yes,
A0018,Tachimura no Peichin,,,1814,1899,,,shuri-te|te|kishimoto-di,shuri-te,yes,4,,yes,
