node_id,honour,source,status
A0009,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0010,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0011,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0019,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0021,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0024,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0031,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0041,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0054,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0055,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0056,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0064,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0107,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0113,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0118,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0123,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0128,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0132,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0133,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0134,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
A0212,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
B0002,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00006,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00018,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00034,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00035,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00044,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00066,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00080,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00098,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00117,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00201,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00207,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00222,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00226,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00232,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00247,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00253,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00265,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00271,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00282,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00296,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00301,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00304,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00319,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00333,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00348,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00349,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00361,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00368,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00375,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00385,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00438,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00478,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00480,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00483,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00488,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00491,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00494,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00507,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00521,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00546,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00566,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00628,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00659,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00660,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00667,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
C00672,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0001,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0002,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0003,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0004,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0005,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0006,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0007,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0008,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0009,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0010,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0011,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0012,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0013,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0014,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0015,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0016,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0017,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0018,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0019,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0020,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0021,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0022,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0023,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0024,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0025,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0026,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0027,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0028,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0029,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0030,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0031,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0032,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0033,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0034,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0035,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0036,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0037,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0038,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0039,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0040,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0041,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0042,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0043,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0044,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0045,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0046,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0047,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0048,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0049,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
J0050,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q130739281,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q135222893,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q15987228,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q15987278,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q16016038,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q1728269,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q189805,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q1908090,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q1963468,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q2599967,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q27363,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q3139173,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q3194253,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q3482635,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q38585428,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q3954660,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q4763171,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q5103850,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q5349190,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q6810356,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q6869269,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q723832,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q727360,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q7446770,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q7677484,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
Q8056246,Hanshi 10th dan — Okinawa Karate News register (2018),"sources/okinawa-judan-2018.csv | Okinawa Karate News No.146 (2018), compiled by Miguel Da Luz",proposed
