node_id,display_name,name_romaji,name_native,note,status
C00039,Frank Hargrove,,,"[panel] Real American Shorin-ryu Shorinkan teacher (student of Shugoro Nakazato, Hampton, Virginia, author on karate history). The embedded 'DR' is a displaced doctoral title from the sour",proposed
C00156,Moshigwa Ire,,,"[panel] 'Moshigwa' fits the genuine Uchinaaguchi nickname pattern (Mōshi + diminutive -gwa; cf. Motobu Choki's childhood name Mōshi) and Ire/Irei is a real Okinawan surname, so 'Moshigwa I",proposed
C00251,Kishin Teruya,,,"[panel] Almost certainly truncated 'Kishin Teruya' (1804-1864), the documented Tomari-te master who taught Kosaku Matsumora and Kokan Oyadomari (Passai, Rohai, Wanshu); Teruya Kishin has h",proposed
C00385,Nanko Minei,,,"[panel] Matches Nanko Minei, a real and currently active Okinawan Goju-ryu 10th dan from Nanjo City (Minei Dojo, opened 1973; senior student of Miyasato in the OGKK line). 'Mine' is a trun",proposed
C00404,Seijin Toguchi,,,"[panel] Nickname entry for Seijin 'One-Eyed' Toguchi (1895-1937), attested in Tomari-te lineage literature as a successor of Kodatsu Iha, who also appears in this dataset (C00261/C00262). ",proposed
C00432,Ryoichi Onishi,,,"[panel] 'Onis' is a truncated surname; 'Ryoichi Onishi' is a coherent Japanese name and a martial artist of that name (karate background, later Systema Osaka founder) exists. Whether that ",proposed
C00641,Wang Ji,,,"[panel] As a lineage node this denotes Wanshu / Wang Ji, the 1683 Qing sapposhi envoy traditionally credited with teaching in Tomari and as namesake of the Wanshu kata. The envoy is histor",proposed
C00657,Chogi Yoshimura,,,"[panel] 'Udun' designates the Yoshimura princely house, but in karate lineage charts 'Yoshimura Udun' conventionally denotes the house's karate figure Yoshimura Chogi (1866-1945), a studen",proposed
Q1046410,,,이준구,verified via wikipedia,proposed
Q1060301,,Shō Chū,尚忠,verified via wikipedia,proposed
Q106695378,,,市川素水,verified via wikipedia,proposed
Q1071733,,Chōshin Chibana,知花朝信,verified via wikipedia,proposed
Q11258528,,,八巻建弐,verified via wikipedia,proposed
Q11263313,,,上原誠,verified via wikipedia,proposed
Q11365653,,,中村日出夫,verified via wikipedia,proposed
Q11383484,,,佐竹雅昭,verified via wikipedia,proposed
Q11399569,,Shigeo Katō,加藤重夫,verified via wikipedia,proposed
Q11428483,,,塚本徳臣,verified via wikipedia,proposed
Q11436963,,Noboru Ōsawa,大沢昇,verified via wikipedia,proposed
Q11449231,,,宇城憲治,verified via wikipedia,proposed
Q11470681,,,山田辰雄,verified via wikipedia,proposed
Q11472844,,,岡崎寛人,verified via wikipedia,proposed
Q11474560,,,岩崎達也,verified via wikipedia,proposed
Q1147708,Choki Motobu,Chōki Motobu,本部朝基,verified via wikipedia,proposed
Q11486455,,,廣重毅,verified via wikipedia,proposed
Q11557545,,,浜井識安,verified via wikipedia,proposed
Q1246030,,,江上茂,verified via wikipedia,proposed
Q124766,,,西山英峻,verified via wikipedia,proposed
Q130739281,Naonobu Ahagon,,,verified via unverified,proposed
Q1335481,,Henry Plée,,verified via unverified,proposed
Q1336547,,Pēchin Takahara,高原親雲上,verified via wikipedia,proposed
Q13424717,,Kyōichi Inoue,井上強一,verified via wikipedia,proposed
Q135222893,,,千歳剛直,verified via wikipedia,proposed
Q1360025,,,加瀬泰治,verified via wikipedia,proposed
Q1372130,,Shō Hashi,尚巴志,verified via wikipedia,proposed
Q1473967,,,出村文男,verified via wikipedia,proposed
Q1494112,,Ken'ichi Sawai,澤井健一,verified via wikipedia,proposed
Q1584213,,,久高正之,verified via wikipedia,proposed
Q15845016,,Kōji Chūbachi,中鉢孝治,verified via wikipedia,proposed
Q15845020,,Ryōsuke Shimizu,志水亮介,verified via wikipedia,proposed
Q15845021,,,栗原一晃,verified via wikipedia,proposed
Q15845024,,,根本敬介,verified via wikipedia,proposed
Q15845028,,Kōji Ogata,尾方弘二,verified via wikipedia,proposed
Q15845030,,,高橋敏,verified via wikipedia,proposed
Q15845032,,,谷山卓也,verified via wikipedia,proposed
Q15845033,,,半崎靖雄,verified via wikipedia,proposed
Q15845034,,Seizō Izumiya,泉屋誠三,verified via wikipedia,proposed
Q15845035,,,椎名勝利,verified via wikipedia,proposed
Q15845038,,,小倉靖典,verified via wikipedia,proposed
Q15845041,,,井村武憲,verified via wikipedia,proposed
Q15845047,,,森俊博,verified via wikipedia,proposed
Q15845053,,Yoshiharu Ōsaka,大阪可治,verified via wikipedia,proposed
Q15987180,Chozo Nakama,Chōzō Nakama,名嘉真朝増,verified via wikipedia,proposed
Q15987228,Yuchoku Higa,Yūchoku Higa,比嘉佑直,verified via wikipedia,proposed
Q15987564,,,植木政明,verified via wikipedia,proposed
Q15987804,,,山本英雄,verified via wikipedia,proposed
Q15987806,,,今村富雄,verified via wikipedia,proposed
Q16006586,,,泉川寛喜,verified via wikipedia,proposed
Q16016038,,,八木明徳,verified via wikipedia,proposed
Q16089695,Satoshi Saito,Satoshi Saitō,齋藤聰,verified via wikipedia,proposed
Q1620643,,Kōri Hisataka,久高幸利,verified via wikipedia,proposed
Q16266721,,Shingo Ōgami,大神真吾,verified via wikipedia,proposed
Q1678211,Jae Chul Shin,,신재철,verified via wikipedia,proposed
Q16907056,,,謝崇祥,verified via wikipedia,proposed
Q17225688,,Kenji Kanō,嘉納健治,verified via wikipedia,proposed
Q1728269,,Kan'ei Uechi,上地完英,verified via wikipedia,proposed
Q1737900,,,阿部圭吾,verified via wikipedia,proposed
Q1738762,,,黒崎健時,verified via wikipedia,proposed
Q1739011,,Kenshirō Abe,阿部謙四郎,verified via wikipedia,proposed
Q182130,,,植芝盛平,verified via well-known,proposed
Q18414412,,,桜村和夫,verified via wikipedia,proposed
Q189805,,Zenryō Shimabukuro,島袋善良,verified via wikidata,proposed
Q190141,Jigoro Kano,Jigorō Kanō,嘉納治五郎,verified via well-known,proposed
Q1908090,Shinpo Matayoshi,Shinpō Matayoshi,又吉真豊,verified via wikidata,proposed
Q1929108,,Kūsankū,公相君,verified via wikipedia,proposed
Q1937515,,,川和田実,verified via wikipedia,proposed
Q1937662,,,望月稔,verified via wikipedia,proposed
Q1963468,,Shōshin Nagamine,長嶺将真,verified via well-known,proposed
Q21503589,,Tōru Arakawa,荒川通,verified via wikipedia,proposed
Q221121,,Chōjun Miyagi,宮城長順,verified via well-known,proposed
Q22124384,Hachinosuke Fukuda,,福田八之助,verified via wikipedia,proposed
Q23688927,,,新谷勝,verified via wikipedia,proposed
Q2393877,,Chōtoku Kyan,喜屋武朝徳,verified via well-known,proposed
Q2453372,,Kyūzō Mifune,三船久蔵,verified via well-known,proposed
Q2456537,,,前田光世,verified via well-known,proposed
Q2473562,,,上地完文,verified via well-known,proposed
Q2599967,,,東恩納盛男,verified via wikipedia,proposed
Q2619054,,Tsutomu Ōshima,大島劼,verified via wikipedia,proposed
Q2636225,,,石井和義,verified via wikipedia,proposed
Q2637587,,Shirō Saigō,西郷四郎,verified via well-known,proposed
Q2664662,,Shōkei Matsui,松井章圭 / 문장규,verified via wikipedia,proposed
Q2672426,Tsunejiro Tomita,Tsunejirō Tomita,富田常次郎,verified via wikipedia,proposed
Q268880,,Gōgen Yamaguchi,山口剛玄,verified via well-known,proposed
Q27363,,,島袋龍夫,verified via well-known,proposed
Q276730,Kosei Nishihira,Kōsei Nishihira,西平向盛,verified via wikipedia,proposed
Q2869852,,,若井敦子,verified via wikipedia,proposed
Q2911640,,,三上孝之,verified via wikipedia,proposed
Q2915906,,,岡崎照幸,verified via wikipedia,proposed
Q294548,,Masutatsu Ōyama,大山倍達 / 최영의,verified via well-known,proposed
Q3025412,,,川田利明,verified via wikipedia,proposed
Q3028499,,Kōsaku Matsumora,松茂良興作,verified via wikipedia,proposed
Q30928815,,Tatsusaburō Nakayama,中山辰三郎,verified via wikipedia,proposed
Q3115887,,,緑健児,verified via wikipedia,proposed
Q3136331,,Hironori Ōtsuka II,大塚博紀（二代目）,verified via well-known,proposed
Q3139173,,Hōhan Sōken,祖堅方範,verified via wikipedia,proposed
Q3194253,,,宮平勝哉,verified via wikidata,proposed
Q320773,,Shigeru Ōyama,大山茂,verified via wikipedia,proposed
Q3236604,,,山下義韶,verified via wikipedia,proposed
Q3272171,,,大島由加里,verified via wikipedia,proposed
Q3276775,,Sakujirō Yokoyama,横山作次郎,verified via wikipedia,proposed
Q3317210,,,原田満祐,verified via wikipedia,proposed
Q348074,,,白井寛,verified via wikipedia,proposed
Q3482287,,,城間真繁,verified via wikidata,proposed
Q3482635,,Shūgorō Nakazato,仲里周五郎,verified via wikidata,proposed
Q3519204,,,村上哲次,verified via wikipedia,proposed
Q3532632,,,藤原敏男,verified via wikipedia,proposed
Q356335,,,최홍희,verified via well-known,proposed
Q3772405,,Kanken Tōyama,遠山寛賢,verified via wikipedia,proposed
Q381799,,,田川洋行,verified via wikipedia,proposed
Q384558,,,中山正敏,verified via well-known,proposed
Q386415,,Hironori Ōtsuka,大塚博紀,verified via well-known,proposed
Q3954660,,,渡口政吉,verified via wikipedia,proposed
Q3959901,,Shōgō Kuniba,国場将豪,verified via wikipedia,proposed
Q3984846,,,知念輝夫,verified via wikipedia,proposed
Q3984847,,,山崎照朝,verified via wikipedia,proposed
Q4023282,,,富山豊,verified via wikipedia,proposed
Q4057557,,,東孝,verified via wikipedia,proposed
Q41105,,,船越義珍,verified via well-known,proposed
Q4340844,,,Василий Ощепков,verified via wikidata,proposed
Q4340863,,Yasuhiko Ōyama,大山泰彦,verified via wikipedia,proposed
Q4351940,,,小西康裕,verified via wikipedia,proposed
Q4457146,,,千田務,verified via wikipedia,proposed
Q4467319,Kiyoyuki Terada,,寺田精之,verified via wikipedia,proposed
Q453505,,,摩文仁賢和,verified via well-known,proposed
Q460890,,,福田敬子,verified via wikipedia,proposed
Q4701154,,,増田章,verified via wikipedia,proposed
Q471629,,,金澤弘和,verified via wikipedia,proposed
Q4763171,,,上江洲安儀,verified via wikipedia,proposed
Q476441,,,西村誠司,verified via wikipedia,proposed
Q4992628,,Yoshimi Ōsawa,大沢慶己,verified via wikipedia,proposed
Q4992635,,Toshirō Daigo,醍醐敏郎,verified via wikipedia,proposed
Q5103850,,Chōgi Kishaba,喜舎場朝義,verified via wikipedia,proposed
Q5104212,,Chōkei Kishaba,喜舎場朝啓,verified via wikipedia,proposed
Q527422,,Ankō Itosu,糸洲安恒,verified via well-known,proposed
Q5349190,,,宮里栄一,verified via well-known,proposed
Q535906,,,ショー・コスギ,verified via wikipedia,proposed
Q5361556,,,数見肇,verified via wikipedia,proposed
Q542989,,,北谷屋良,verified via wikipedia,proposed
Q557301,,,新垣安吉,verified via wikipedia,proposed
Q5618841,,,小泉軍治,verified via wikipedia,proposed
Q562887,,Jōkō Ninomiya,二宮城光,verified via wikipedia,proposed
Q584466,Seisho Arakaki,Seishō Arakaki,新垣世璋,verified via wikipedia,proposed
Q598665,,,窪田孝行,verified via wikipedia,proposed
Q6078918,,,小畑功,verified via wikipedia,proposed
Q6130268,,,添野義二,verified via wikipedia,proposed
Q628761,,Gigō Funakoshi,船越義豪,verified via well-known,proposed
Q6378060,,Katsuaki Satō,佐藤勝昭,verified via wikipedia,proposed
Q6378081,,,新里勝彦,verified via wikipedia,proposed
Q6381580,,,田畑和美,verified via wikipedia,proposed
Q6389379,,,富木謙治,verified via wikipedia,proposed
Q6426232,,,コウイチ,verified via wikipedia,proposed
Q6426547,,Kōkan Oyadomari,親泊興寛,verified via wikipedia,proposed
Q64929894,,,レオナ・ペタス,verified via wikipedia,proposed
Q6519507,,,渡辺俊二,verified via wikipedia,proposed
Q6753487,,Manzō Iwata,岩田万蔵,verified via wikipedia,proposed
Q6782405,,,平良正次,verified via wikipedia,proposed
Q6782517,,,知念正美,verified via wikidata,proposed
Q6782529,,,鶴岡政己,verified via wikipedia,proposed
Q6869269,,,比嘉稔,verified via wikipedia,proposed
Q6884566,,,三浦美幸,verified via wikipedia,proposed
Q6956791,,,松村ナビー,verified via wikipedia,proposed
Q699236,Kanryo Higaonna,Kanryō Higaonna,東恩納寛量,verified via wikipedia,proposed
Q703827,,,三沢光晴,verified via wikipedia,proposed
Q705617,,Chōmo Hanashiro,花城長茂,verified via wikipedia,proposed
Q706389,Choyu Motobu,Chōyū Motobu,本部朝勇,verified via wikipedia,proposed
Q706726,,Gōzō Shioda,塩田剛三,verified via wikipedia,proposed
Q706955,,,中村忠,verified via wikipedia,proposed
Q709520,,,浅井哲彦,verified via wikipedia,proposed
Q715769,Sokon Matsumura,Sōkon Matsumura,松村宗棍,verified via wikipedia,proposed
Q716133,,,榎枝慶之輔,verified via wikipedia,proposed
Q716152,,Shōji Nishio,西尾昭二,verified via wikipedia,proposed
Q721201,,Ankō Azato,安里安恒,verified via wikipedia,proposed
Q722028,,Kentsū Yabu,屋部憲通,verified via wikipedia,proposed
Q723832,Shinken Taira,,平信賢,verified via wikipedia,proposed
Q727360,Kenei Mabuni,Ken'ei Mabuni,摩文仁賢榮,verified via wikipedia,proposed
Q7418861,,,上島三之助,verified via wikipedia,proposed
Q7446670,,,仲村正義,verified via wikipedia,proposed
Q7446692,,Seigō Tada,多田正剛,verified via wikipedia,proposed
Q7446702,,,赤嶺誠一,verified via wikipedia,proposed
Q7446703,,,伊集盛一,verified via wikipedia,proposed
Q7446770,,,伊波清吉,verified via wikidata,proposed
Q7446788,,,藤田西湖,verified via wikipedia,proposed
Q7447367,,Sekō Higa,比嘉世幸,verified via wikipedia,proposed
Q7677342,,,串田誉司,verified via wikipedia,proposed
Q7677484,,,長嶺高兆,verified via wikidata,proposed
Q780966,,,磯部清次,verified via wikipedia,proposed
Q7827674,,Toshihiro Ōshiro,大城利弘,verified via wikipedia,proposed
Q7850204,,Tsuneo Andō,安藤毎夫,verified via wikipedia,proposed
Q8049998,,,塩田泰久,verified via wikipedia,proposed
Q8056246,,,中村佳央,verified via wikipedia,proposed
Q8062088,,,矢口豊,verified via wikipedia,proposed
Q896129,,,越智秀男,verified via wikipedia,proposed
Q9096235,,,이원국,verified via wikipedia,proposed
Q919033,,,芦原英幸,verified via wikipedia,proposed
Q920672,,,盧山初雄,verified via wikipedia,proposed
Q921673,,,佐久川寛賀,verified via wikipedia,proposed
Q922328,,,田中正彦,verified via wikipedia,proposed
Q954330,,Ryū Ryū Ko,,verified via unverified,proposed
Q957513,,Teruo Kōno,河野輝夫,verified via wikipedia,proposed
Q97666381,,,鈴木達夫,verified via wikipedia,proposed
Q982540,Sumiyuki Kotani,,小谷澄之,verified via wikipedia,proposed
Q99517310,,Chōfu Kyan,喜屋武朝扶,verified via wikipedia,proposed
Q18230165,George E. Mattson,,,"[entity audit] Q18230165 is a Wikimedia disambiguation page; the dataset dates 1908-1997 belong to another George Mattson on that page, not the karateka. The intended person is George E. Mattson (b. c. 1937), the Ue",proposed
Q251784,Annan,,,"[entity audit] Q251784 is a Wikimedia disambiguation page (mostly place names such as Anan, Tokushima), so the Wikidata match is wrong. However, the name itself is a legitimate lineage node: Annan/Anan is the Chines",proposed
Q295085,Kanken Toyama,,,"[entity audit] Q295085 is a Wikimedia disambiguation page for the place name 'Toyama' (city/prefecture etc.), not a person. The intended lineage figure is Kanken Toyama (24 Sep 1888 - 24 Nov 1966), founder of the Sh",proposed
Q3518915,Terry O'Neill,,,"[entity audit] Q3518915 is a Wikimedia disambiguation page, and the dataset dates 1938-2019 are those of Terry O'Neill the celebrity photographer. The intended person is Terry O'Neill the martial artist (b. 27 Feb 1",proposed
A0007,,Zhou Zihe,周子和,[wave4] https://ja.wikipedia.org/wiki/%E5%91%A8%E5%AD%90%E5%92%8C,proposed
A0012,,,許田重発,[wave4] https://en.wikipedia.org/wiki/T%C5%8Don-ry%C5%AB,proposed
Q1908088,,,又吉眞光,[wave4] https://en.wikipedia.org/wiki/Shinko_Matayoshi,proposed
Q38585428,,,中村茂,[wave4] https://webhiden.jp/master/_nakamura_shigeru/,proposed
A0159,,,清水隆次,[wave4] https://ja.wikipedia.org/wiki/%E6%B8%85%E6%B0%B4%E9%9A%86%E6%AC%A1,proposed
A0148,,Hironishi Genshin (also Motonobu),廣西元信,[wave4] https://www.shotokai.jp/about/teacher/hironishi/,proposed
A0001,,,황기 (黃琦),[wave4] https://ko.wikipedia.org/wiki/%ED%99%A9%EA%B8%B0,proposed
Q6918025,,,井上元勝,[wave4] https://ja.wikipedia.org/wiki/%E4%BA%95%E4%B8%8A%E5%85%83%E5%8B%9D,proposed
A0151,,Ro Byung-jick,노병직,[wave4] http://news.heraldcorp.com/view.php?ud=20150914000110,proposed
A0046,,,保勇,[wave4] https://ja.wikipedia.org/wiki/%E4%BF%9D%E5%8B%87,proposed
A0132,,,福地清幸,[wave4] https://ja.wikipedia.org/wiki/%E5%89%9B%E6%9F%94%E6%B5%81,proposed
A0157,,,김기황 (金基璜),[wave4] https://ko.wikipedia.org/wiki/%EA%B9%80%EA%B8%B0%ED%99%A9,proposed
A0154,,,윤병인 (尹炳仁),[wave4] https://ko.wikipedia.org/wiki/%EC%9C%A4%EB%B3%91%EC%9D%B8,proposed
A0078,,,谷長治郎,[wave4] https://en.wikipedia.org/wiki/Sh%C5%ABk%C5%8Dkai,proposed
