node_id,style_id,reason,status
A0001,moo-duk-kwan,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Founder of the Moo Duk Kwan (1945)",proposed
A0001,soo-bahk-do,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Founder of Soo Bahk Do (Korea Soo ",proposed
A0003,itf-taekwondo,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] ITF founding pioneer",proposed
A0003,oh-do-kwan,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Co-founder of the Oh Do Kwan with ",proposed
A0006,nisei-goju,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] Peter Urban student; co-founded Nisei Gōjū-ryū in 1969 with Harry Rosenstein and Ron Taganashi.",proposed
A0007,pangai-noon,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Uechi Kanbun's teacher in Fuzhou; source of the Pangai-noon art that became Uechi-ryū.",proposed
A0014,iogkf,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] IOGKF World Chief Instructor, successor to Morio Higaonna.",proposed
A0016,iogkf,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] Long-serving IOGKF senior instructor and Vice Chief Instructor (South Africa).",proposed
A0018,kishimoto-di,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/plausible] Source of the system: 'Bushi' Tachimura (1814–1899), fellow student line of Sakugawa's Shuri-te, whos",proposed
A0026,inoue-ha-shito-ryu,"[taxonomy:shito-ryu/confirmed] Uchi-deshi of Teruo Hayashi; founded Inoue-ha Shito-ryu Keishin-kai (Tottori) after Hayashi's death, as a direct descendant of Hayashi-ha.",proposed
A0054,shogen-ryu,[taxonomy:shorin-ryu-tree/confirmed] Founder of Shogen-ryu (2000) after stepping down as first WMKA president; more precise than his current matsubayashi-ryu tag.,proposed
A0068,kenshinkan,[taxonomy:shorin-ryu-tree/confirmed] Son of Fusei Kise and current head of the Kenshin-kan federation; more precise than his current matsumura-seito tag.,proposed
A0079,kimura-shukokai,[taxonomy:shito-ryu/confirmed] Tani's student from 1957 and eponym of Kimura Shukokai; his method was formalised as Kimura Shukokai International after his death in 1995.,proposed
A0080,yamada-ha-shito-ryu-shukokai,[taxonomy:shito-ryu/confirmed] Selected inaugural head of the Shito-ryu Shukokai Karate-do Union on 28 June 1998; now 10th dan soke of the Yamada-ha Shukokai World Union.,proposed
A0081,kimura-shukokai,[taxonomy:shito-ryu/confirmed] One of the four senior Kimura students (Great Britain) who lead Kimura Shukokai International.,proposed
A0082,kimura-shukokai,[taxonomy:shito-ryu/confirmed] One of the four senior Kimura students (spelled Breslaw in Wikipedia) who lead Kimura Shukokai International.,proposed
A0083,kimura-shukokai,[taxonomy:shito-ryu/confirmed] One of the four senior Kimura students who lead Kimura Shukokai International.,proposed
A0084,kimura-shukokai,[taxonomy:shito-ryu/confirmed] One of the four senior Kimura students (South Africa) who lead Kimura Shukokai International.,proposed
A0086,seiko-kai,[taxonomy:shito-ryu/confirmed] Student of Ryusho Sakagami from 1954; founded Suzuki-ha Shito-ryu Nihon Karatedo Seiko-kai after Sakagami's death in 1993.,proposed
A0089,kotaka-ha-shito-ryu,"[taxonomy:shito-ryu/confirmed] All Japan Seishinkai champion 1960-62; founded the International Karate Federation in Honolulu in 1966, where Kotaka-ha Shito-ryu was born.",proposed
A0091,seito-shito-ryu,"[taxonomy:shito-ryu/confirmed] Daughter of Kenzo Mabuni; announced 3rd soke of Seito Shito-ryu at the 5th International Seito Shito-Ryu Taikai, Osaka, July 2005.",proposed
A0092,shito-kai,[taxonomy:shito-ryu/confirmed] Son of Manzo Iwata; current president (kaicho) of the World Shito-ryu Karatedo Federation / Shito-kai.,proposed
A0093,kuniba-ha,[taxonomy:shito-ryu/confirmed] Named by Shogo Kuniba as second soke of Kuniba-ryu Karate-do and Kuniba-ryu Goshindo on 16 March 1992.,proposed
A0094,kuniba-ha,"[taxonomy:shito-ryu/confirmed] Son of Shogo Kuniba; co-heads Nihon Karate-do Kuniba-kai (established 1999), the home organisation of Motobu-ha/Kuniba-ha Shito-ryu.",proposed
A0104,shobayashi-shorin-ryu,[taxonomy:shorin-ryu-tree/confirmed] Trained in the Eizo Shimabukuro Shobayashi line per roster tags; also leads Dentokan (Seidokan lineage).,proposed
A0117,ryukyu-kobudo-akamine,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Son of Eisuke Akamine; led the Hozon Shinkō Kai until 2011, then formed the Ryūkyū Kobudō Shimbukan a",proposed
A0118,ryukyu-kobudo-tesshinkan,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Senior student of Akamine Eisuke; founded the Ryūkyū Kobudō Tesshinkan in May 1999 with Akamine's per",proposed
A0119,ryukyu-kobudo-akamine,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Senior student of Akamine Eisuke; kaichō (fifth director) of the Ryūkyū Kobudō Hozon Shinkō Kai from ",proposed
A0120,ryukyu-kobujutsu-hozon-shinko-kai,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Son of Inoue Motokatsu and his successor as head of the Ryūkyū Kobujutsu Hozon Shinkō Kai / Yuishinka",proposed
A0121,kingai-ryu,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/confirmed] Documented inheritor of Kingai-ryū methods (featured demonstrating Kingai-ryū karate and kama-jutsu).",proposed
A0123,kenshikai,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] Founded the Okinawa Gōjū-ryū Kenshikai (16 February 1978); 10th dan and founder of the Okinawa karate museum.",proposed
A0130,bunbukan,"[taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeikan, genseiryu/taido)/plausible] Son of Nakamoto Masahiro and successor at the Bunbukan honbu in Shuri, per Bunbukan organisation mate",proposed
A0132,shodokan-goju-ryu,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] Top student of Seko Higa in the Shōdōkan line; principal teacher of Tetsuhiro Hokama.",proposed
A0138,shobukan,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] Founded the Shōbukan in 1963 and built it into an international Okinawan Gōjū-ryū organisation.",proposed
A0139,shobukan,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/confirmed] Son of Masanobu Shinjo; current head of the Shōbukan.",proposed
A0140,shobukan,"[taxonomy:Goju-ryu complete tree (Okinawan branches, Japanese Goju-kai and its offshoots)/plausible] Shinjo family senior instructor within the Shōbukan organisation.",proposed
A0150,chung-do-kwan,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Second head of the Chung Do Kwan; ",proposed
A0151,song-moo-kwan,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Founder of the Song Moo Kwan (1944",proposed
A0152,ji-do-kwan,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] First president of the Jidokwan (1",proposed
A0153,soo-bahk-do,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Son of Hwang Kee, head of Soo Bahk",proposed
A0154,chang-moo-kwan,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Founder of the YMCA Kwon Bup Bu / ",proposed
A0155,ji-do-kwan,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Founder of the Chosun Yun Mu Kwan ",proposed
A0156,chung-do-kwan,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Long-time head of the Chung Do Kwa",proposed
A0156,kukki-taekwondo,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] President of the Kukkiwon",proposed
A0172,han-moo-kwan,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Founder of the Han Moo Kwan (1954)",proposed
A0173,jung-do-kwan,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Founder of the Jung Do Kwan (1956,",proposed
A0174,kang-duk-won,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Co-founder of the Kang Duk Won (19",proposed
A0175,kang-duk-won,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Co-founder of the Kang Duk Won (19",proposed
A0176,ji-do-kwan,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Senior Jidokwan leader",proposed
A0176,kukki-taekwondo,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Senior Kukkiwon figure (vice-presi",proposed
A0177,chang-moo-kwan,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Second head of the Chang Moo Kwan",proposed
A0178,itf-taekwondo,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] One of the original ITF masters",proposed
A0179,itf-taekwondo,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] ITF pioneer, father of British tae",proposed
A0180,itf-taekwondo,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Original ITF master, pioneer in Ca",proposed
A0181,itf-taekwondo,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Senior ITF master (later founded t",proposed
A0182,itf-taekwondo,"[taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] Original ITF master",proposed
