raw,canonical_id,label,parent,family,founder,founded,note,status
Aikikai,aikido,Aikido,,other,,,Aikikai is the mainline aikido organisation; collapsed to aikido. B kept a separate aikikai id,proposed
Dan Aikikai,aikido,Aikido,,other,,,Scrape artefact rank phrase ('...Dan Aikikai'); collapsed to aikido,proposed
American Karate,american-karate,American Karate,,other,,,Generic,proposed
American Kenpo,american-kenpo,American Kenpo,kara-ho-kempo,kenpo,Ed Parker,1954,"Ed Parker, via William Chow | [taxonomy:kenpo + international trees (kenpo family, American karate offshoots, Nanbu styles)/confirmed] https://en.wikipedia.org/wiki/American_Kenpo | https://en.wikipedia.org/wiki/Ed_Parker",proposed
American Kenpo Karate,american-kenpo,American Kenpo,kara-ho-kempo,kenpo,,,,proposed
Ashihara Karate,ashihara,Ashihara Karate,kyokushin,kyokushin,Hideyuki Ashihara,1980,"Ashihara Hideyuki | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, Shudokan group, Shindo Jinen-ryu, Kushin-ryu, Koei-kan, Kyokushin tree, Taekwondo kwans, ITF/Kukkiwon, Tang Soo Do/Soo Bahk Do)/confirmed] https://en.wik",proposed
Ashihara kaikan,ashihara,Ashihara Karate,kyokushin,kyokushin,,,,proposed
Bugeikan,bugeikan,Bugeikan,te,te,Higa Seitoku,1951,"Higa Seitoku's dojo preserving old-style te and kobudo; classed under te. Curators disagreed: B classed it as other (organisation) | [taxonomy:kobudo + uechi-ryu + remaining trees (ryuei-ryu, kojo-ryu, toon-ryu, motobu, kishimoto-di, bugeik",proposed
Bushido Kai Karate,bushido-kai,Bushido Kai Karate,,other,,,Uncertain lineage,proposed
Chinese Martial Arts,chinese-martial-arts,Chinese Martial Arts,,chinese,,,Generic,proposed
Chito-Ryu,chito-ryu,Chito-Ryu,shuri-te,japanese,Tsuyoshi Chitose,1946,"Chitose Tsuyoshi; mainland style with mixed Shuri-te and Naha-te background, parent set to dominant Shuri line. Curators disagreed: A left parent empty, B chose shuri-te | [taxonomy:Mainland Japanese + Korean trees (Shotokan, Wado, Chito, S",proposed
Chito-kai,chito-ryu,Chito-Ryu,shuri-te,japanese,,,Chito-kai organisational variant of Chito-Ryu,proposed
Chitoryu,chito-ryu,Chito-Ryu,shuri-te,japanese,,,,proposed
chitoryu,chito-ryu,Chito-Ryu,shuri-te,japanese,,,,proposed
Ch'uan Fa,chuan-fa,Chuan Fa,,chinese,,,,proposed
Chuan Fa,chuan-fa,Chuan Fa,,chinese,,,Chinese boxing; kenpo antecedent,proposed
