node_id,field,old,new,reason,status
Q1691502,birth_year,1895,1944,[entity audit] correct person: Joe Lewis,proposed
Q1691502,death_year,1986,2012,[entity audit] correct person: Joe Lewis,proposed
Q18230165,birth_year,1908,1937,[entity audit] correct person: George E. Mattson,proposed
Q18230165,death_year,1997,,[entity audit] wrong-entity death date removed,proposed
Q2943981,birth_year,1956,1905,[entity audit] correct person: Tatsuo Yamada,proposed
Q2943981,death_year,2009,1967,[entity audit] correct person: Tatsuo Yamada,proposed
Q295085,birth_year,,1888,[entity audit] correct person: Kanken Toyama,proposed
Q295085,death_year,,1966,[entity audit] correct person: Kanken Toyama,proposed
Q3518915,birth_year,1938,1948,[entity audit] correct person: Terry O'Neill,proposed
Q3518915,death_year,2019,,[entity audit] wrong-entity death date removed,proposed
Q3857461,birth_year,1951,1943,[entity audit] years belonged to the wrong entity; [wave4] en-wiki: born 29 Jun 1943,proposed
Q3857461,death_year,2002,,[entity audit] years belonged to the wrong entity,proposed
Q6227103,birth_year,1842,,[entity audit] years belonged to the wrong entity,proposed
Q6227103,death_year,1919,,[entity audit] years belonged to the wrong entity,proposed
Q6739958,birth_year,1970,,[entity audit] years belonged to the wrong entity,proposed
Q7147128,birth_year,1848,,[entity audit] years belonged to the wrong entity,proposed
Q7147128,death_year,1921,,[entity audit] years belonged to the wrong entity,proposed
Q862634,birth_year,1924,1945,[entity audit] years belonged to the wrong entity; [wave4] en-wiki: born 1 Dec 1945,proposed
Q862634,death_year,2012,,[entity audit] years belonged to the wrong entity,proposed
Q922328,birth_year,1954,,[entity audit] years belonged to the wrong entity,proposed
Q542989,birth_year,1668,1740,[wave4] ja.wikipedia (Kyan Chotoku article) gives Chatan Yara 1740-1812; en-wiki 1668-1756 is internally inconsistent and makes him older than his teacher Kusanku | REJECTED by Ahmad 2026-07-13: keep the traditional 1668-1756 dating so Yara precedes his student Takahara Peichin (1683-1760); the ja-wiki 1740-1812 dates likely belong to the later Yomitan-line Yara (Toshimasa),rejected
Q542989,death_year,1756,1812,[wave4] ja.wikipedia (Kyan Chotoku article) gives Chatan Yara 1740-1812; en-wiki 1668-1756 is internally inconsistent and makes him older than his teacher Kusanku | REJECTED by Ahmad 2026-07-13: keep the traditional 1668-1756 dating so Yara precedes his student Takahara Peichin (1683-1760); the ja-wiki 1740-1812 dates likely belong to the later Yomitan-line Yara (Toshimasa),rejected
C00034,birth_year,,1925,[wave4] USAdojo biography + Shobayashi Shorin-ryu wiki: 1925-2017,proposed
C00034,death_year,,2017,[wave4] USAdojo biography + Shobayashi Shorin-ryu wiki: 1925-2017,proposed
A0161,birth_year,,1931,[wave4] Hawaiian Memorial Park Mortuary obituary: 3 May 1931 - 31 Dec 2022,proposed
A0161,death_year,,2022,[wave4] Hawaiian Memorial Park Mortuary obituary: 3 May 1931 - 31 Dec 2022,proposed
C00657,birth_year,,1866,[wave4] ja-wiki: Yoshimura Chogi 1866-1945,proposed
C00657,death_year,,1945,[wave4] ja-wiki: Yoshimura Chogi 1866-1945,proposed
C00251,birth_year,,1804,[wave4] ja-wiki Tomari-te: Teruya Kishin 1804-1864,proposed
C00251,death_year,,1864,[wave4] ja-wiki Tomari-te: Teruya Kishin 1804-1864,proposed
C00527,birth_year,,1882,[wave4] Motobu-ryu honbu notes: Kina Shosei 1882-1981,proposed
C00527,death_year,,1981,[wave4] Motobu-ryu honbu notes: Kina Shosei 1882-1981,proposed
C00072,birth_year,,1895,[wave4] ja-wiki: Nakasone Genwa 1895-1978,proposed
C00072,death_year,,1978,[wave4] ja-wiki: Nakasone Genwa 1895-1978,proposed
C00586,birth_year,,1924,[wave4] Hayashi-ha Shito-ryu federation biography: 1924-2004,proposed
C00586,death_year,,2004,[wave4] Hayashi-ha Shito-ryu federation biography: 1924-2004,proposed
C00440,birth_year,,1915,[wave4] ja-wiki: Sakagami Ryusho 1915-1993,proposed
C00440,death_year,,1993,[wave4] ja-wiki: Sakagami Ryusho 1915-1993,proposed
Q954330,birth_year,1852,1793,[wave4] zh sources + quality pass: Ryu Ryu Ko kept distinct from Xie Zongxiang; c.1793-1882 is the better-supported range and restores chronology with students Arakaki (b.1840) and Higaonna,proposed
Q954330,death_year,1930,1882,[wave4] zh sources + quality pass: Ryu Ryu Ko kept distinct from Xie Zongxiang; c.1793-1882 is the better-supported range and restores chronology with students Arakaki (b.1840) and Higaonna,proposed
C00244,birth_year,,1819,[wave4] en-wiki Ryu Ryu Ko: Nakaima Norisato 1819-1879,proposed
C00244,death_year,,1879,[wave4] en-wiki Ryu Ryu Ko: Nakaima Norisato 1819-1879,proposed
C00252,birth_year,,1830,[wave4] en-wiki Ryu Ryu Ko: Sakiyama Kitoku 1830-1914,proposed
C00252,death_year,,1914,[wave4] en-wiki Ryu Ryu Ko: Sakiyama Kitoku 1830-1914,proposed
C00427,birth_year,,1838,[wave4] en-wiki Ryu Ryu Ko: Maezato Ranpo 1838-1904,proposed
C00427,death_year,,1904,[wave4] en-wiki Ryu Ryu Ko: Maezato Ranpo 1838-1904,proposed
C00605,birth_year,,1877,[wave4] en-wiki Ryu Ryu Ko: Matsuda Tokusaburo 1877-1931,proposed
C00605,death_year,,1931,[wave4] en-wiki Ryu Ryu Ko: Matsuda Tokusaburo 1877-1931,proposed
C00141,birth_year,,1832,[wave4] ja-wiki Kojo-ryu: Kojo Isei 1832-1891,proposed
C00141,death_year,,1891,[wave4] ja-wiki Kojo-ryu: Kojo Isei 1832-1891,proposed
C00564,birth_year,,1837,[wave4] ja-wiki Kojo-ryu: Kojo Taitei 1837-1917,proposed
C00564,death_year,,1917,[wave4] ja-wiki Kojo-ryu: Kojo Taitei 1837-1917,proposed
C00108,birth_year,,1849,[wave4] ja-wiki Kojo-ryu: Kojo Kaho 1849-1925,proposed
C00108,death_year,,1925,[wave4] ja-wiki Kojo-ryu: Kojo Kaho 1849-1925,proposed
C00263,birth_year,,1873,[wave4] ja-wiki Kojo-ryu: Kojo Saikyo 1873-1941,proposed
C00263,death_year,,1941,[wave4] ja-wiki Kojo-ryu: Kojo Saikyo 1873-1941,proposed
C00542,birth_year,,1883,[wave4] ja-wiki Kojo-ryu: Kojo Shuren 1883-1945,proposed
C00542,death_year,,1945,[wave4] ja-wiki Kojo-ryu: Kojo Shuren 1883-1945,proposed
C00107,birth_year,,1909,[wave4] ja-wiki Kojo-ryu: Kojo Kafu 1909-1996,proposed
C00107,death_year,,1996,[wave4] ja-wiki Kojo-ryu: Kojo Kafu 1909-1996,proposed
C00506,birth_year,,1934,[wave4] ja-wiki Kojo-ryu: Kojo Shigeru b.1934,proposed
C00625,birth_year,,1947,[wave4] ja-wiki: Sakumoto Tsuguo b. 13 Dec 1947,proposed
C00117,birth_year,,1941,[wave4] Uechi-ryu federation obituary + Wikipedia: 1941-2015,proposed
