kind,node_id,name,detail
anachronistic_style,Q557301,Ankichi Arakaki,"style 'shorin-ryu' (founded c.1933) postdates their lifespan 1899-1927; tag dropped (ancestry, not membership)"
anachronistic_style,Q557301,Ankichi Arakaki,"style 'isshin-ryu' (founded c.1956) postdates their lifespan 1899-1927; tag dropped (ancestry, not membership)"
anachronistic_style,Q557301,Ankichi Arakaki,"style 'matsubayashi-ryu' (founded c.1947) postdates their lifespan 1899-1927; tag dropped (ancestry, not membership)"
anachronistic_style,Q557301,Ankichi Arakaki,"style 'kobayashi-shorin-ryu' (founded c.1933) postdates their lifespan 1899-1927; tag dropped (ancestry, not membership)"
anachronistic_style,Q721201,Anko Azato,"style 'shotokan' (founded c.1936) postdates their lifespan 1828-1914; tag dropped (ancestry, not membership)"
anachronistic_style,Q721201,Anko Azato,"style 'shorin-ryu' (founded c.1933) postdates their lifespan 1828-1914; tag dropped (ancestry, not membership)"
anachronistic_style,Q721201,Anko Azato,"style 'shotokai' (founded c.1930) postdates their lifespan 1828-1914; tag dropped (ancestry, not membership)"
anachronistic_style,Q527422,Anko Itosu,"style 'shorin-ryu' (founded c.1933) postdates their lifespan 1831-1915; tag dropped (ancestry, not membership)"
anachronistic_style,Q527422,Anko Itosu,"style 'tang-soo-do' (founded c.1944) postdates their lifespan 1831-1915; tag dropped (ancestry, not membership)"
anachronistic_style,Q584466,Arakaki Seisho,"style 'goju-ryu' (founded c.1929) postdates their lifespan 1840-1918; tag dropped (ancestry, not membership)"
anachronistic_style,Q584466,Arakaki Seisho,"style 'shito-ryu' (founded c.1934) postdates their lifespan 1840-1918; tag dropped (ancestry, not membership)"
anachronistic_style,Q584466,Arakaki Seisho,"style 'shotokan' (founded c.1936) postdates their lifespan 1840-1918; tag dropped (ancestry, not membership)"
anachronistic_style,Q584466,Arakaki Seisho,"style 'uechi-ryu' (founded c.1940) postdates their lifespan 1840-1918; tag dropped (ancestry, not membership)"
anachronistic_style,Q584466,Arakaki Seisho,"style 'chito-ryu' (founded c.1946) postdates their lifespan 1840-1918; tag dropped (ancestry, not membership)"
anachronistic_style,Q584466,Arakaki Seisho,"style 'kudo' (founded c.1981) postdates their lifespan 1840-1918; tag dropped (ancestry, not membership)"
anachronistic_style,Q542989,Chatan Yara,"style 'shito-ryu' (founded c.1934) postdates their lifespan 1668-1756; tag dropped (ancestry, not membership)"
anachronistic_style,Q542989,Chatan Yara,"style 'ryukyu-kobudo' (founded c.1955) postdates their lifespan 1668-1756; tag dropped (ancestry, not membership)"
anachronistic_style,Q2393877,Chotoku Kyan,"style 'shorinji-ryu' (founded c.1954) postdates their lifespan 1870-1945; tag dropped (ancestry, not membership)"
anachronistic_style,Q628761,Gigo Funakoshi,"style 'taekwondo' (founded c.1955) postdates their lifespan 1906-1945; tag dropped (ancestry, not membership)"
anachronistic_style,Q1909096,Higa Peechin,"style 'shorin-ryu' (founded c.1933) postdates their lifespan 1790-1870; tag dropped (ancestry, not membership)"
anachronistic_style,Q1909096,Higa Peechin,"style 'ryukyu-kobudo' (founded c.1955) postdates their lifespan 1790-1870; tag dropped (ancestry, not membership)"
anachronistic_style,Q699236,Higaonna Kanryo,"style 'goju-ryu' (founded c.1929) postdates their lifespan 1853-1916; tag dropped (ancestry, not membership)"
anachronistic_style,Q921673,Kanga Sakukawa,"style 'shito-ryu' (founded c.1934) postdates their lifespan 1733-1815; tag dropped (ancestry, not membership)"
anachronistic_style,Q921673,Kanga Sakukawa,"style 'shorin-ryu' (founded c.1933) postdates their lifespan 1733-1815; tag dropped (ancestry, not membership)"
anachronistic_style,Q921673,Kanga Sakukawa,"style 'shotokan' (founded c.1936) postdates their lifespan 1733-1815; tag dropped (ancestry, not membership)"
anachronistic_style,C00075,Kenchu Nakaima,"style 'ryuei-ryu' (founded c.1971) postdates their lifespan 1856-1953; tag dropped (ancestry, not membership)"
anachronistic_style,Q3028499,Kosaku Matsumora,"style 'shotokan' (founded c.1936) postdates their lifespan 1829-1898; tag dropped (ancestry, not membership)"
anachronistic_style,Q1929108,Kusanku,"style 'isshin-ryu' (founded c.1956) postdates their lifespan None-None; tag dropped (ancestry, not membership)"
anachronistic_style,Q1929108,Kusanku,"style 'shito-ryu' (founded c.1934) postdates their lifespan None-None; tag dropped (ancestry, not membership)"
anachronistic_style,Q1929108,Kusanku,"style 'matsubayashi-ryu' (founded c.1947) postdates their lifespan None-None; tag dropped (ancestry, not membership)"
anachronistic_style,Q715769,Matsumura Sokon,"style 'chito-ryu' (founded c.1946) postdates their lifespan 1809-1899; tag dropped (ancestry, not membership)"
anachronistic_style,Q715769,Matsumura Sokon,"style 'isshin-ryu' (founded c.1956) postdates their lifespan 1809-1899; tag dropped (ancestry, not membership)"
anachronistic_style,Q715769,Matsumura Sokon,"style 'shito-ryu' (founded c.1934) postdates their lifespan 1809-1899; tag dropped (ancestry, not membership)"
anachronistic_style,Q715769,Matsumura Sokon,"style 'shotokan' (founded c.1936) postdates their lifespan 1809-1899; tag dropped (ancestry, not membership)"
anachronistic_style,C00373,Moden Yabiku,"style 'ryukyu-kobudo' (founded c.1955) postdates their lifespan 1878-1941; tag dropped (ancestry, not membership)"
anachronistic_style,Q1147708,Motobu Choki,"style 'isshin-ryu' (founded c.1956) postdates their lifespan 1870-1944; tag dropped (ancestry, not membership)"
