no,kanji,romaji_as_printed,node_id,note
1,祖堅方範,Soken Hōhan,Q3139173,
2,中村茂,Nakamura Shigeru,Q38585428,
3,儀間真謹,Gima Makoto,C00319,
4,糸数義男,Itokazu Yoshio,C00660,
5,平信賢,Taira Shinken,Q723832,
6,千歳強直,Chitose Tsuyoshi,Q135222893,
7,上原清吉,Uehara Seikichi,C00478,
8,玉村進,Tamamura Susumu,C00333,
9,長嶺将真,Nagamine Shōshin,Q1963468,
10,高嶺朝睦,Takamine Chōboku,C00018,
11,島袋龍夫,Shimabukuro Tatsuo,Q27363,
12,島袋善良,Shimabukuro Zenryō,Q189805,
13,比嘉佑直,Higa Yūchoku,Q15987228,
14,上地完英,Uechi Kanei,Q1728269,
15,喜納正興,Kina Seikō,J0021,
16,仲井間憲孝,Nakaima Kenkō,C00232,
17,八木明徳,Yagi Meitoku,Q16016038,
18,糸数盛喜,Itokazu Seiki,C00480,
19,仲村良雄,Nakamura Yoshio,Q8056246,
20,屋良朝意,Yara Chōi,J0014,
21,渡口政吉,Toguchi Seikichi,Q3954660,
22,宮平勝哉,Miyahira Katsuya,Q3194253,
23,長嶺但吉,Nagamine Tankichi,C00349,
24,摩文仁賢榮,Mabuni Kenei,Q727360,
25,福地清幸,Fukuchi Seikō,A0132,
26,仲里周五郎,Nakazato Shugorō,Q3482635,
27,上間上輝,Uema Jōki,A0031,
28,嘉数光雄,Kakazu Mitsuo,J0034,
29,比嘉清徳,Higa Seitoku,C00494,
30,又吉眞豊,Matayoshi Shinpō,Q1908090,
31,宮里栄一,Miyazato Eiichi,Q5349190,
32,仲里常延,Nakazato Jōen,C00098,
33,当真正貴,Toma Seiki,A0021,
34,島袋永三,Shimabukuro Eizō,C00034,
35,伊波康進,Iha Kōshin,C00296,
36,赤嶺栄亮,Akamine Eisuke,C00035,
37,石川精徳,Ishikawa Seitoku,J0006,
38,小渡世吉,Odo Seikichi,Q15987278,
39,湧川幸盛,Wakugawa Kōsei,J0022,
40,安田哲之助,Yasuda Tetsunosuke,C00361,
41,仲村安吉,Nakamura Ankichi,C00006,
42,新里善秀,Shinzato Yoshihide,A0041,
43,仲本喜一,Nakamoto Kiichi,A0128,
44,友寄隆光,Tomoyose Ryūkō,C00438,
45,島袋勝之,Shimabukuro Katsuyuki,J0023,
46,富山清幸,Toyama Seikō,A0009,
47,宮里昌栄,Miyazato Shōei,C00521,
48,新垣修一,Aragaki Shūichi,J0001,
49,高良信徳,Takara Shintoku,J0007,
50,比知屋義夫,Hichiya Yoshio,C00659,
51,上原武信,Uehara Takenobu,C00348,
52,比嘉敏雄,Higa Yoshio,J0035,romaji as printed; kanji reads Toshio
53,仲村政友,Nakamura Seiyū,,
54,親田清勇,Oyata Seiyū,A0019,
55,喜友名朝有,Kiyūna Chōyū,C00044,
56,宮城安一,Miyagi Anichi,A0011,
57,伊志嶺朝信,Ishimine Chōshin,J0024,
58,眞海博之,Shinkai Hiroyuki,C00080,
59,田場兼靖,Taba Kensei,A0054,
60,當銘由親,Tōme Yūshin,C00667,
61,伊波清吉,Iha Seikichi,Q7446770,
62,仲程力,Nakahodo Tsutomu,C00628,
63,稲田弘,Inada Hiroshi,J0025,
64,伊波光太郎,Iha Kōtarō,J0036,
65,真栄城守成,Maeshiro Shūsei,C00546,
66,与那覇政昌,Yonaha Seishō,C00491,
67,喜舎場朝義,Kishaba Chōgi,Q5103850,
68,糸数盛光,Itokazu Seikō,C00483,
69,宮城孝輝,Miyagi Kōki,C00282,
70,平良吉雄,Taira Yoshio,J0037,
71,島袋嘉盛,Shimabukuro Kasei,C00207,
